Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Amritpal Singh,KHADOOR SAHIB,IND,12,10th Pass,1838440,0,2024
Rajesh Verma,KHAGARIA,Lok Janshakti Party(Ram Vilas),12,Graduate Professional,53894412,40745130,2024
Vishnu Datt Sharma (V.D.Sharma),KHAJURAHO,BJP,1,Post Graduate,0,0,2024
Ramasahayam Raghuram Reddy,KHAMMAM,INC,1,Others,582770537,95482677,2024
Gyaneshwar Patil,KHANDWA,BJP,1,12th Pass,72237099,5446068,2024
Gajendra Singh Patel,KHARGONE (ST),BJP,0,Graduate Professional,99824946,4497445,2024
Devusinh Chauhan,KHEDA,BJP,0,Graduate Professional,34976572,4996647,2024
Utkarsh Verma (Madhur),KHERI,SP,0,Graduate,0,0,2024
Kali Charan Munda,KHUNTI (ST),INC,0,12th Pass,5407803,0,2024
Mohammad Jawed,KISHANGANJ,INC,0,Graduate Professional,159675943,16562000,2024
Annpurna Devi,KODARMA,BJP,2,Post Graduate,128282857,7885853,2024
Joyanta Basumatary,KOKRAJHAR (ST),"United Peoples Party, Liberal",1,Graduate,22865797,0,2024
M. Mallesh Babu,KOLAR (SC),Janata Dal (Secular),1,Post Graduate,0,0,2024
Chhatrapati Shahu Shahaji,KOLHAPUR,INC,1,Graduate,3428668000,0,2024
Mala Roy,KOLKATA DAKSHIN,AITC,1,Graduate,15397092,795517,2024
Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate,84812907,0,2024
N K Premachandran,KOLLAM,Revolutionary Socialist Party,5,Graduate Professional,31194899,3800000,2024
K. Rajashekar Basavaraj Hitnal,KOPPAL,INC,3,12th Pass,0,0,2024
Saptagiri Sankar Ulaka,KORAPUT (ST),INC,0,Graduate Professional,70956659,16002929,2024
Jyotsna Charandas Mahant,KORBA,INC,0,Post Graduate,179626733,500000,2024
Om Birla,KOTA,BJP,0,Post Graduate,106206645,0,2024
Adv K Francis George,KOTTAYAM,Kerala Congress,5,Graduate Professional,95196318,1300000,2024
M. K. Raghavan,KOZHIKODE,INC,4,Graduate,0,0,2024
Gopinath K,KRISHNAGIRI,INC,0,10th Pass,123405500,11498082,2024
Mahua Moitra,KRISHNANAGAR,AITC,1,Graduate,35067166,0,2024
Bastipati Nagaraju Panchalingala,KURNOOL,TDP,0,Post Graduate,90176000,1936439,2024
Naveen Jindal,KURUKSHETRA,BJP,9,Post Graduate,12414768000,73706000,2024
Vijay Kumar Dubay,KUSHI NAGAR,BJP,2,12th Pass,0,0,2024
Mohmad Haneefa,LADAKH,IND,0,10th Pass,32761570,150000,2024
Pradan Baruah,LAKHIMPUR,BJP,0,Others,24205536,2269660,2024
Muhammed Hamdullah Sayeed,LAKSHADWEEP,INC,0,Graduate Professional,148548173,0,2024
Daroga Prasad Saroj,LALGANJ (SC),SP,3,Graduate,53876725,0,2024
Dr. Kalge Shivaji Bandappa,LATUR (SC),INC,0,Graduate Professional,0,0,2024
Sukhdeo Bhagat,LOHARDAGA (ST),INC,1,Post Graduate,24688449,12414241,2024
Raj Nath Singh,LUCKNOW,BJP,0,Post Graduate,73684617,0,2024
Amrinder Singh Raja Warring,LUDHIANA,INC,0,10th Pass,177243256,44673348,2024
Priya Saroj,MACHHLISHAHR (SC),SP,2,Graduate Professional,1125719,0,2024
Balashowry Vallabhaneni,MACHILIPATNAM,Janasena Party,2,Post Graduate,0,0,2024
Mohite-Patil Dhairyasheel Rajsinh,MADHA,Nationalist Congress Party – Sharadchandra Pawar,36,Post Graduate,489434188,205027212,2024
Dinesh Chandra Yadav,MADHEPURA,JD(U),0,Others,66209377,0,2024
Ashok Kumar Yadav,MADHUBANI,BJP,2,Doctorate,58583773,10224706,2024
Venkatesan S,MADURAI,CPI(M),3,12th Pass,20536639,0,2024
Balram Naik Porika,MAHABUBABAD (ST),INC,6,10th Pass,0,0,2024
Pankaj Chaudhary,MAHARAJGANJ,BJP,0,12th Pass,419010509,38247129,2024
Janardan Singh (Sigriwal),MAHARAJGANJ,BJP,5,Graduate,17536436,0,2024
Roop Kumari Choudhary,MAHASAMUND,BJP,0,Post Graduate,53908562,2116025,2024
Aruna. D. K,MAHBUBNAGAR,BJP,6,12th Pass,667569871,16132436,2024
Haribhai Patel,MAHESANA,BJP,0,Others,0,0,2024
Dimple Yadav,MAINPURI,SP,0,Graduate,420262015,9985548,2024
E.T. Mohammed Basheer,MALAPPURAM,Indian Union Muslim League,1,10th Pass,20252293,0,2024
Isha Khan Choudhury,MALDAHA DAKSHIN,INC,0,Graduate,14810368,0,2024
Khagen Murmu,MALDAHA UTTAR,BJP,7,Graduate,13590846,234412,2024
Eatala Rajender,MALKAJGIRI,BJP,45,Graduate,0,0,2024
Kangna Ranaut,MANDI,BJP,8,12th Pass,916631239,173886641,2024
Faggan Singh Kulaste,MANDLA (ST),BJP,0,Post Graduate,53526381,3380099,2024
Sudheer Gupta,MANDSOUR,BJP,1,Post Graduate,192884642,58453495,2024
H.D. Kumaraswamy,MANDYA,Janata Dal (Secular),3,Graduate,2172328789,821806608,2024
Hemamalini Dharmendra Deol,MATHURA,BJP,0,Doctorate,0,0,2024
Bapi Haldar,MATHURAPUR (SC),AITC,1,Graduate,24530801,58849,2024
Shrirang Appa Chandu Barne,MAVAL,Shiv Sena,3,10th Pass,1318591631,8528711,2024
Kodikunnil Suresh,MAVELIKKARA (SC),INC,6,Graduate Professional,15312324,880986,2024
Sudha R,MAYILADUTHURAI,INC,10,Post Graduate,3862830,0,2024
Naba Charan Majhi,MAYURBHANJ (ST),BJP,1,Graduate,0,0,2024
Madhavaneni Raghunandan Rao,MEDAK,BJP,29,Graduate Professional,220907289,121178789,2024
June Maliah,MEDINIPUR,AITC,0,10th Pass,66018642,17920738,2024
Arun Govil,MEERUT,BJP,0,Graduate,144400261,1464028,2024
Anupriya Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,42241754,9805603,2024
Ashok Kumar Rawat,MISRIKH (SC),BJP,0,Post Graduate,0,0,2024
Richard Vanlalhmangaiha,MIZORAM (ST),Zoram Peoples Movement,0,Graduate,16919233,0,2024
R.K. Chaudhary,MOHANLALGANJ (SC),SP,2,Graduate Professional,28384459,0,2024
Ruchi Vira,MORADABAD,SP,0,Graduate,280588320,0,2024
Shivmangal Singh Tomar,MORENA,BJP,0,Graduate Professional,22614911,4430205,2024
Piyush Goyal,MUMBAI NORTH,BJP,0,Graduate Professional,0,0,2024
Gaikwad Varsha Eknath,MUMBAI NORTH - CENTRAL,INC,7,Post Graduate,76848656,10160000,2024
Sanjay Dina Patil,MUMBAI NORTH - EAST,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,39911145,0,2024
Ravindra Dattaram Waikar,MUMBAI NORTH - WEST,Shiv Sena,3,Graduate,545049854,44810574,2024
Arvind Ganpat Sawant,MUMBAI SOUTH,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate,50485191,0,2024
Anil Yeshwant Desai,MUMBAI SOUTH - CENTRAL,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,0,0,2024
Rajiv Ranjan Singh Alias Lalan Singh,MUNGER,JD(U),0,Graduate,138228639,2915378,2024
Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,38476131,0,2024
Harendra Singh Malik,MUZAFFARNAGAR,SP,1,Graduate,90780765,1129635,2024
Raj Bhushan Choudhary,MUZAFFARPUR,BJP,0,Post Graduate,205295066,54608134,2024
Yaduveer Krishnadatta Chamaraja Wadiyar,MYSORE,BJP,0,Graduate,0,0,2024
Balabhadra Majhi,NABARANGPUR (ST),BJP,2,Graduate,78863561,1124732,2024
S Supongmeren Jamir,NAGALAND,INC,0,Graduate Professional,2100868,556528,2024
Pradyut Bordoloi,NAGAON,INC,0,Post Graduate,83915436,1299774,2024
Selvaraj V,NAGAPATTINAM (SC),CPI,1,Post Graduate,11062368,2853957,2024
Dr.Mallu Ravi,NAGARKURNOOL (SC),INC,6,Graduate Professional,0,0,2024
Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,1,Graduate Professional,8110760,0,2024
Chandrashekhar,NAGINA (SC),Aazad Samaj Party (Kanshi Ram),36,Graduate Professional,3986581,0,2024
Nitin Jairam Gadkari,NAGPUR,BJP,10,Doctorate,280317321,62230174,2024
Ajay Bhatt,NAINITAL-UDHAM SINGH NAGAR,BJP,0,Graduate Professional,48714988,1905347,2024
Kaushalendra Kumar,NALANDA,JD(U),0,12th Pass,0,0,2024
Kunduru Raghuveer,NALGONDA,INC,2,12th Pass,355731499,176679000,2024
Matheswaran V S,NAMAKKAL,DMK,3,10th Pass,47297973,5039079,2024
Vasantrao Balwantrao Chavan,NANDED,INC,1,12th Pass,36785180,1423663,2024
Adv Gowaal Kagada Padavi,NANDURBAR (ST),INC,0,Post Graduate,70170431,7817614,2024
Dr Byreddy Shabari,NANDYAL,TDP,2,Post Graduate,0,0,2024
Bhupathi Raju Srinivasa Varma,NARSAPURAM,BJP,0,Post Graduate,71664809,16926961,2024
Lavu Srikrishna Devarayalu,NARSARAOPET,TDP,0,Graduate Professional,566548466,68088135,2024
Rajabhau (Parag) Prakash Waje,NASHIK,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,158637378,1918865,2024
C R Patil,NAVSARI,BJP,0,Others,394930044,27582988,2024
Vivek Thakur,NAWADA,BJP,0,Post Graduate,0,0,2024
Prabhakar Reddy Vemireddy,NELLORE,TDP,6,Graduate,7163322265,1972962603,2024
Bansuri Swaraj,NEW DELHI,BJP,0,Post Graduate,192946528,0,2024
Raja A,NILGIRIS (SC),DMK,7,Graduate Professional,69362170,1900484,2024
Arvind Dharmapuri,NIZAMABAD,BJP,22,Post Graduate,1099020273,306681918,2024
Manoj Tiwari,NORTH EAST DELHI,BJP,2,Post Graduate,0,0,2024
Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,108683533,508675,2024
Yogender Chandoliya,NORTH WEST DELHI (SC),BJP,2,Graduate,27623483,938900,2024
Magunta Sreenivasulu Reddy,ONGOLE,TDP,0,Graduate,579539820,276323277,2024
Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,OSMANABAD,ShivSena (Uddhav Balasaheb Thackeray),2,Graduate Professional,75325549,251709,2024
Alfred Kanngam S Arthur,OUTER MANIPUR (ST),INC,0,12th Pass,0,0,2024
V K Sreekandan,PALAKKAD,INC,5,Graduate,12421358,5462812,2024
Vishnu Dayal Ram,PALAMU (SC),BJP,0,Graduate,39081116,1237580,2024
Dr. Hemant Vishnu Savara,PALGHAR (ST),BJP,0,Graduate Professional,81622050,10776056,2024
P. P. Chaudhary,PALI,BJP,0,Graduate Professional,407176661,19486942,2024
Rajpalsinh Mahendrasinh Jadav,PANCHMAHAL,BJP,0,12th Pass,0,0,2024
Jadhav Sanjay ( Bandu ) Haribhau,PARBHANI,ShivSena (Uddhav Balasaheb Thackeray),6,10th Pass,102706523,47495341,2024
Dr.Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,290535126,13525,2024
Misha Bharti,PATALIPUTRA,RJD,6,Graduate Professional,102619562,11462479,2024
Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,68430049,2957861,2024
Anto Antony,PATHANAMTHITTA,INC,5,Graduate,0,0,2024
Dr Dharamvira Gandhi,PATIALA,INC,0,Post Graduate,85341885,0,2024
Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,406098345,0,2024
Vamsi Krishna Gaddam,PEDDAPALLE (SC),INC,0,Graduate,240976163,1776000,2024
Arun Nehru,PERAMBALUR,DMK,0,Post Graduate,816197502,191395432,2024
Praveen Patel,PHULPUR,BJP,0,Post Graduate,0,0,2024
Jitin Prasada,PILIBHIT,BJP,0,Post Graduate,298925408,0,2024
Eswarasamy K,POLLACHI,DMK,1,10th Pass,345276957,94557521,2024
Dr. M.P Abdussamad Samadani,PONNANI,Indian Union Muslim League,1,Doctorate,21977344,0,2024
Dr. Mansukh Mandaviya,PORBANDAR,BJP,0,Doctorate,79504705,0,2024
Shiv Pal Singh Patel (Dr. S P Singh),PRATAPGARH,SP,0,Post Graduate,0,0,2024
Ve Vaithilingam,PUDUCHERRY,INC,0,Graduate,157249699,0,2024
Murlidhar Mohol,PUNE,BJP,3,Graduate,243244483,148557877,2024
Sambit Patra,PURI,BJP,1,Post Graduate,19806997,0,2024
Rajesh Ranjan Alias Pappu Yadav,PURNIA,IND,41,Graduate,120884682,17236808,2024
Jyotirmay Singh Mahato,PURULIA,BJP,3,Graduate Professional,0,0,2024
Radha Mohan Singh,PURVI CHAMPARAN,BJP,2,Graduate,42965416,2941310,2024
Rahul Gandhi,RAE BARELI,INC,18,Post Graduate,203961862,4979184,2024
G. Kumar Naik,RAICHUR (ST),INC,0,Graduate Professional,334128505,50402456,2024
Tatkare Sunil Dattatrey,RAIGAD,NCP,0,Others,145768773,114520,2024
Kartick Chandra Paul,RAIGANJ,BJP,0,Graduate,0,0,2024
Radheshyam Rathiya,RAIGARH (ST),BJP,0,12th Pass,10650781,124610,2024
Brijmohan Agrawal,RAIPUR,BJP,0,Post Graduate,180219000,9233000,2024
Daggubati Purandheshwari,RAJAHMUNDRY,BJP,1,Graduate,625041146,69860440,2024
P V Midhun Reddy,RAJAMPET,YSRCP,0,Post Graduate,1468501685,560918969,2024
Rodmal Nagar,RAJGARH,BJP,0,Graduate,0,0,2024
Parshottambhai Rupala,RAJKOT,BJP,3,Graduate Professional,174316673,195000,2024
Vijay Kumar Hansdak,RAJMAHAL (ST),JMM,0,10th Pass,62011168,16981136,2024
Santosh Pandey,RAJNANDGAON,BJP,1,Graduate Professional,42916375,3229688,2024
Mahima Kumari Mewar,RAJSAMAND,BJP,0,Graduate,11376000,0,2024
K Navaskani,RAMANATHAPURAM,Indian Union Muslim League,1,12th Pass,0,0,2024
Mohibbullah,RAMPUR,SP,3,Post Graduate,4505342,0,2024
Shyamkumar Daulat Barve,RAMTEK (SC),INC,2,12th Pass,42894953,16152299,2024
Jagannath Sarkar,RANAGHAT (SC),BJP,4,Graduate Professional,22328968,0,2024
Sanjay Seth,RANCHI,BJP,2,Graduate Professional,24152085,3244306,2024
Anita Nagarsingh Chouhan,RATLAM (ST),BJP,0,Post Graduate,0,0,2024
Narayan Tatu Rane,RATNAGIRI - SINDHUDURG,BJP,7,10th Pass,1088739226,293710906,2024
Khadse Raksha Nikhil,RAVER,BJP,0,Graduate,182117790,7736381,2024
Janardan Mishra S/O Ramdhar Prasad Mishra,REWA,BJP,0,Graduate Professional,50938896,10536551,2024
Chhotelal,ROBERTSGANJ (SC),SP,0,5th Pass,19997783,6954692,2024
Deepender Singh Hooda,ROHTAK,INC,0,Post Graduate,0,0,2024
Shobhanaben Mahendrasinh Baraiya,SABARKANTHA,BJP,0,12th Pass,31828842,12744653,2024
Dr. Lata Wankhede,SAGAR,BJP,0,Doctorate,173410882,13800070,2024
Imran Masood,SAHARANPUR,INC,8,12th Pass,55502166,0,2024
Selvaganapathi T M,SALEM,DMK,1,Post Graduate,754021976,261456676,2024
Ramashankar Rajbhar,SALEMPUR,SP,0,Graduate,0,0,2024
Shambhavi,SAMASTIPUR (SC),Lok Janshakti Party(Ram Vilas),0,Post Graduate,45406719,17250997,2024
Dharmendra Pradhan,SAMBALPUR,BJP,5,Post Graduate,69219190,5337781,2024
Zia Ur Rehman,SAMBHAL,SP,6,Graduate Professional,18967476,0,2024
Vishal (Dada) Prakashbapu Patil,SANGLI,IND,9,Graduate,299065726,82679549,2024
Gurmeet Singh Hayer,SANGRUR,AAP,2,Graduate Professional,0,0,2024
Laxmikant Pappu Nishad,SANT KABIR NAGAR,SP,3,12th Pass,33728000,3500000,2024
Rajiv Pratap Rudy,SARAN,BJP,0,Post Graduate,83711219,656891,2024
Manoj Kumar,SASARAM (SC),INC,1,Graduate,32491416,2400000,2024
Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,SATARA,BJP,4,12th Pass,2231233939,24463842,2024
Ganesh Singh,SATNA,BJP,3,Post Graduate,0,0,2024
G. Kishan Reddy,SECUNDERABAD,BJP,0,Others,192241721,16300000,2024
Smt. Himadri Singh,SHAHDOL (ST),BJP,0,Graduate,50180267,4284426,2024
Arun Kumar Sagar,SHAHJAHANPUR (SC),BJP,0,12th Pass,58317453,2521626,2024
Lovely Anand,SHEOHAR,JD(U),0,Graduate,94553723,3169916,2024
Dr. Ricky Andrew J. Syngkon,SHILLONG (ST),Voice of the People Party,0,Doctorate,0,0,2024
Suresh Kumar Kashyap,SHIMLA (SC),BJP,0,Post Graduate,44442736,5105342,2024
B.Y.Raghavendra,SHIMOGA,BJP,1,Graduate,737145310,136106691,2024
Bhausaheb Rajaram Wakchaure,SHIRDI (SC),ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,97519221,2432000,2024
Dr. Amol Ramsing Kolhe,SHIRUR,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate Professional,84207251,44971049,2024
Ram Shiromani Verma,SHRAWASTI,SP,0,Graduate Professional,0,0,2024
Dr. Rajesh Mishra,SIDHI,BJP,1,Post Graduate,144008066,18427959,2024
Amraram,SIKAR,CPI(M),0,Post Graduate,4050109,0,2024
Indra Hang Subba,SIKKIM,Sikkim Krantikari Morcha,0,Doctorate,14845772,5000000,2024
Parimal Suklabaidya,SILCHAR (SC),BJP,0,Graduate,17257627,0,2024
Joba Majhi,SINGHBHUM (ST),JMM,0,10th Pass,0,0,2024
Selja,SIRSA (SC),INC,0,Post Graduate,420655803,0,2024
Devesh Chandra Thakur,SITAMARHI,JD(U),1,Graduate Professional,88465387,0,2024
Rakesh Rathor,SITAPUR,INC,1,Graduate,42107005,8288936,2024
Karti P Chidambaram,SIVAGANGA,INC,11,Graduate Professional,962744048,234850274,2024
Vijaylakshmi Devi,SIWAN,JD(U),0,Literate,0,0,2024
Praniti Sushilkumar Shinde,SOLAPUR (SC),INC,3,Graduate Professional,66070402,0,2024
Satpal Brahamchari,SONIPAT,INC,0,Graduate,16073608,0,2024
Ranjit Dutta,SONITPUR,BJP,0,12th Pass,89792194,24261374,2024
Ramvir Singh Bidhuri,SOUTH DELHI,BJP,1,Graduate,526419941,1000000,2024
Captain Viriato Fernandes,SOUTH GOA,INC,1,Graduate Professional,0,0,2024
Kalyan Banerjee,SREERAMPUR,AITC,0,Graduate Professional,305479471,1360398,2024
Kinjarapu Rammohan Naidu,SRIKAKULAM,TDP,4,Post Graduate,233073561,29863859,2024
Aga Syed Ruhullah Mehdi,SRINAGAR,Jammu & Kashmir National Conference,0,12th Pass,35793000,438000,2024
T R Baalu,SRIPERUMBUDUR,DMK,0,Graduate,457302056,80646000,2024
Rambhual Nishad,SULTANPUR,SP,8,Graduate,0,0,2024
Jual Oram,SUNDARGARH (ST),BJP,3,12th Pass,86325870,10361616,2024
Dileshwar Kamait,SUPAUL,JD(U),1,Graduate,36191958,0,2024
Mukeshkumar Chandrakaant Dalal,SURAT,BJP,0,Post Graduate,178013262,17957360,2024
Chandubhai Chhaganbhai Shihora,SURENDRANAGAR,BJP,0,12th Pass,5808789,266907,2024
Chintamani Maharaj,SURGUJA (ST),BJP,0,12th Pass,0,0,2024
Abhijit Gangopadhyay,TAMLUK,BJP,0,Graduate Professional,46255624,5077654,2024
Mala Rajya Lakshmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,2068739424,179000000,2024
Dr Rani Sri Kumar,TENKASI (SC),DMK,0,Post Graduate,21375000,988040,2024
Naresh Ganpat Mhaske,THANE,Shiv Sena,2,12th Pass,262602215,46063890,2024
Murasoli S,THANJAVUR,DMK,6,Graduate Professional,0,0,2024
Thanga Tamilselvan,THENI,DMK,17,Post Graduate,49850594,0,2024
Gurumoorthy Maddila,THIRUPATHI (SC),YSRCP,0,Graduate Professional,13249134,1097657,2024
Shashi Tharoor,THIRUVANANTHAPURAM,INC,12,Doctorate,560656126,0,2024
Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK,2,Graduate,604056590,6060187,2024
Suresh Gopi,THRISSUR,BJP,4,Post Graduate,0,0,2024
Dr. Virendra Kumar,TIKAMGARH (SC),BJP,0,Doctorate,28837006,0,2024
Durai Vaiko,TIRUCHIRAPPALLI,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,359084317,25569046,2024
Robert Bruce C,TIRUNELVELI,INC,1,Post Graduate,92662888,1022299,2024
K Subbarayan,TIRUPPUR,CPI,1,10th Pass,10431271,150462,2024
Sasikanth Senthil,TIRUVALLUR (SC),INC,0,Graduate Professional,0,0,2024
C N Annadurai,TIRUVANNAMALAI,DMK,0,Graduate,203686311,19156956,2024
Harish Chandra Meena,TONK-SAWAI MADHOPUR,INC,0,Graduate,230794780,0,2024
Kriti Devi Debbarman,TRIPURA EAST (ST),BJP,0,Others,859232932,1525809,2024
Biplab Kumar Deb,TRIPURA WEST,BJP,0,Graduate,49923347,0,2024
V. Somanna,TUMKUR,BJP,1,Graduate,0,0,2024
Saleng A Sangma,TURA (ST),INC,0,Post Graduate,40049264,5708458,2024
Manna Lal Rawat,UDAIPUR (ST),BJP,0,Doctorate,27125206,242000,2024
Dr Jitendra Singh,UDHAMPUR,BJP,0,Post Graduate,85905005,0,2024
Kota Srinivas Poojary,UDUPI CHIKMAGALUR,BJP,0,5th Pass,29470510,10444645,2024
Nityanand Rai,UJIARPUR,BJP,3,Graduate,0,0,2024
Anil Firojiya,UJJAIN (SC),BJP,0,12th Pass,88159766,30346543,2024
Sajda Ahmed,ULUBERIA,AITC,0,Graduate,44042025,0,2024
Swami Sachchidanand Hari Sakshi,UNNAO,BJP,2,Doctorate,67226281,0,2024
Hegde Vishweshwar,UTTARA KANNADA,BJP,0,Graduate,167409004,0,2024
Shafi Parambil,VADAKARA,INC,47,Post Graduate,0,0,2024
Dr. Hemang Joshi,VADODARA,BJP,0,Post Graduate,10388939,3180318,2024
Veena Devi,VAISHALI,Lok Janshakti Party(Ram Vilas),3,10th Pass,467170049,164762876,2024
Sunil Kumar,VALMIKI NAGAR,JD(U),0,Graduate,12764194,6502981,2024
Dhaval Laxmanbhai Patel,VALSAD (ST),BJP,0,Post Graduate,67850853,0,2024
Narendra Modi,VARANASI,BJP,0,Post Graduate,0,0,2024
Dm Kathir Anand,VELLORE,DMK,5,Post Graduate,887965643,511658487,2024
Shivraj Singh Chouhan,VIDISHA,BJP,1,Post Graduate,89852874,6411905,2024
Kesineni Sivanath (Chinni),VIJAYAWADA,TDP,0,Graduate Professional,292066245,261740856,2024
Ravikumar. D,VILUPPURAM (SC),Viduthalai Chiruthaigal Katchi,0,Doctorate,9787136,0,2024
Manickam Tagore B,VIRUDHUNAGAR,INC,1,Graduate Professional,0,0,2024
Sribharat Mathukumili,VISAKHAPATNAM,TDP,2,Post Graduate,2989586580,18964522,2024
Appalanaidu Kalisetti,VIZIANAGARAM,TDP,0,Graduate Professional,62365187,6670915,2024
Kadiyam Kavya,WARANGAL (SC),INC,0,Post Graduate,15501028,10259201,2024
Amar Sharadrao Kale,WARDHA,Nationalist Congress Party – Sharadchandra Pawar,0,12th Pass,106175044,29504353,2024
Rahul Gandhi,WAYANAD,INC,18,Post Graduate,0,0,2024
Kamaljeet Sehrawat,WEST DELHI,BJP,0,Post Graduate,147436650,11857294,2024
Sanjay Uttamrao Deshmukh,YAVATMAL - WASHIM,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,284422940,94874636,2024
Suresh Kumar Shetkar,ZAHIRABAD,INC,1,Graduate,107711726,6447401,2024
