Sl. No.,No. and Name of Parliamentary,Name of the Elected,Party Affiliation
272.,"41-Latur (SC)",Sudhakar Tukaram Shrangare,Bharatiya Janata Party
273.,"42-Solapur (SC)","Shri Sha. Bra. Dr. JaiSidheshwar ShivacharyMahaswamiji",Bharatiya Janata Party
274.,"43-Madha","Ranjeetsinha Hindurao Naik-Nimbalkar",Bharatiya Janata Party
275.,"44-Sangli",Sanjaykaka Patil,Bharatiya Janata Party
276.,"45-Satara","Shrimant Chh. UdayanrajePratapsinhmaharaj Bhonsle",Nationalist Congress Party
277.,"46-Ratnagiri–Sindhudurg",Vinayak Raut,Shiv Sena
278.,"47-Kolhapur",Sanjay Sadashivrao Mandlik,Shiv Sena
279.,"48-Hatkanangle",Dhairyasheel Sambhajirao Mane,Shiv Sena
Manipur,,,
280.,"1-Inner Manipur",Dr Rajkumar Ranjan Singh,Bharatiya Janata Party
281.,"2-Outer Manipur (ST)",Lorho S. Pfoze,Naga Peoples Front
Meghalaya,,,
282.,"1-Shillong (ST)",Vincent H. Pala,Indian National Congress
283.,"2-Tura (ST)",Agatha K. Sangma,National People's Party
Mizoram,,,
284.,"1-Mizoram (ST)",C. Lalrosanga,Mizo National Front
Nagaland,,,
285.,"1-Nagaland",Tokheho Yepthomi,"Nationalist DemocraticProgressive Party"
Odisha,,,
286.,"1-Bargarh",Suresh Pujari,Bharatiya Janata Party
287.,"2-Sundargarh (ST)",Jual Oram,Bharatiya Janata Party
288.,"3-Sambalpur",Nitesh Ganga Deb,Bharatiya Janata Party
289.,"4-Keonjhar (ST)",Chandrani Murmu,Biju Janata Dal
290.,"5-Mayurbhanj (ST)",Er. Bishweswar Tudu,Bharatiya Janata Party
291.,"6-Balasore",Pratap Chandra Sarangi,Bharatiya Janata Party
292.,"7-Bhadrak (SC)",Manjulata Mandal,Biju Janata Dal
293.,"8-Jajpur (SC)",Sarmistha Sethi,Biju Janata Dal
294.,"9-Dhenkanal",Mahesh Sahoo,Biju Janata Dal
295.,"10-Bolangir",Sangeeta Kumari Singh Deo,Bharatiya Janata Party
296.,"11-Kalahandi",Basanta Kumar Panda,Bharatiya Janata Party
297.,"12-Nabarangpur (ST)",Ramesh Chandra Majhi,Biju Janata Dal
298.,"13-Kandhamal",Achyutananda Samanta,Biju Janata Dal
299.,"14-Cuttack",Bhartruhari Mahtab,Biju Janata Dal
300.,"15-Kendrapara",Anubhav Mohanty,Biju Janata Dal
301.,"16-Jagatsinghpur (SC)",Rajashree Mallick,Biju Janata Dal
302.,"17-Puri",Pinaki Mishra,Biju Janata Dal
303.,"18-Bhubaneswar",Aparajita Sarangi,Bharatiya Janata Party
304.,"19-Aska",Pramila Bisoyi,Biju Janata Dal
305.,"20-Berhampur",Chandra Sekhar Sahu,Biju Janata Dal
306.,"21-Koraput (ST)",Saptagiri Ulaka,Indian National Congress
Punjab,,,
307.,"1-Gurdaspur",Sunny Deol,Bharatiya Janata Party
308.,"2-Amritsar",Gurjeet Singh Aujla,Indian National Congress
309.,"3-Khadoor Sahib",Jasbir Singh Gill (Dimpa),Indian National Congress
310.,"4-Jalandhar (SC)",Santokh Singh Chaudhary,Indian National Congress
311.,"5-Hoshiarpur (SC)",Som Parkash,Bharatiya Janata Party
312.,"6-Anandpur Sahib",Manish Tewari,Indian National Congress
313.,"7-Ludhiana",Ravneet Singh Bittu,Indian National Congress
314.,"8-Fatehgarh Sahib (SC)",Amar Singh,Indian National Congress
315.,"9-Faridkot (SC)",Mohammad Sadique,Indian National Congress
316.,"10-Firozpur",Sukhbir Singh Badal,Shiromani Akali Dal
317.,"11-Bathinda",Harsimrat Kaur Badal,Shiromani Akali Dal
318.,"12-Sangrur",Bhagwant Mann,Aam Aadmi Party
319.,"13-Patiala",Preneet Kaur,Indian National Congress
Rajasthan,,,
320.,"1-Ganganagar (SC)",Nihal Chand,Bharatiya Janata Party
321.,"2-Bikaner (SC)",Arjun Ram Meghwal,Bharatiya Janata Party
322.,"3-Churu",Rahul Kaswan,Bharatiya Janata Party
323.,"4-Jhunjhunu",Narendra Kumar,Bharatiya Janata Party
324.,"5-Sikar",Sumedhanand Saraswati,Bharatiya Janata Party
325.,"6-Jaipur Rural",Col. Rajyavardhan Rathore,Bharatiya Janata Party
326.,"7-Jaipur",Ramcharan Bohra,Bharatiya Janata Party
327.,"8-Alwar",Balak Nath,Bharatiya Janata Party
328.,"9-Bharatpur (SC)",Ranjeeta Koli,Bharatiya Janata Party
329.,"10-Karauli–Dholpur (SC)",Manoj Rajoria,Bharatiya Janata Party
330.,"11-Dausa (ST)",Jaskaur Meena,Bharatiya Janata Party
331.,"12-Tonk–Sawai Madhopur",Sukhbir Singh Jaunapuria,Bharatiya Janata Party
332.,"13-Ajmer",Bhagirath Chaudhary,Bharatiya Janata Party
333.,"14-Nagaur",Hanuman Beniwal,Rashtriya Loktantrik Party
334.,"15-Pali",P. P. Chaudhary,Bharatiya Janata Party
335.,"16-Jodhpur",Gajendra Singh Shekhawat,Bharatiya Janata Party
336.,"17-Barmer",Kailash Choudhary,Bharatiya Janata Party
337.,"18-Jalore",Devaji Patel,Bharatiya Janata Party
338.,"19-Udaipur (ST)",Arjunlal Meena,Bharatiya Janata Party
339.,"20-Banswara (ST)",Kanakmal Katara,Bharatiya Janata Party
340.,"21-Chittorgarh",Chandra Prakash Joshi,Bharatiya Janata Party
341.,"22-Rajsamand",Diya Kumari,Bharatiya Janata Party
342.,"23-Bhilwara",Subhash Chandra Baheria,Bharatiya Janata Party
343.,"24-Kota",Om Birla,Bharatiya Janata Party
344.,"25-Jhalawar-Baran",Dushyant Singh,Bharatiya Janata Party
Sikkim,,,
345.,"1-Sikkim",Indra Hang Subba,Sikkim Krantikari Morcha
Tamil Nadu,,,
346.,"1-Tiruvallur (SC)",Dr. K. Jayakumar,Indian National Congress
347.,"2-Chennai North",Dr. Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam
348.,"3-Chennai South","T.Sumathy (A) ThamizhachiThangapandian",Dravida Munnetra Kazhagam
349.,"4-Chennai Central",Dayanidhi Maran,Dravida Munnetra Kazhagam
350.,"5-Sriperumbudur","Baalu,T.R.",Dravida Munnetra Kazhagam
351.,"6-Kancheepuram (SC)","Selvam,G",Dravida Munnetra Kazhagam
352.,"7-Arakkonam",S. Jagathrakshakan,Dravida Munnetra Kazhagam
353.,"8-Vellore",Vacant,
354.,"9-Krishnagiri",Dr.A.Chellakumar,Indian National Congress
355.,"10-Dharmapuri",Dnv Senthilkumar. S.,Dravida Munnetra Kazhagam
356.,"11-Tiruvannamalai","Annadurai, C. N.",Dravida Munnetra Kazhagam
357.,"12-Arani","Vishnu Prasad, M. K.",Indian National Congress
358.,"13-Viluppuram (SC)",Ravikumar. D,Dravida Munnetra Kazhagam
359.,"14-Kallakurichi",Gautham Sigamani Pon,Dravida Munnetra Kazhagam
360.,"15-Salem",Parthiban.S.R,Dravida Munnetra Kazhagam
361.,"16-Namakkal",Chinraj A.K.P,Dravida Munnetra Kazhagam
362.,"17-Erode",Ganeshamurthi. A,Dravida Munnetra Kazhagam
363.,"18-Tiruppur","Subbarayan, K.",Communist Party of India
364.,"19-Nilgiris (SC)","Raja, A.",Dravida Munnetra Kazhagam
365.,"20-Coimbatore","Natarajan, P.R","Communist Party of India(Marxist)"
366.,"21-Pollachi",Shanmuga Sundaram. K,Dravida Munnetra Kazhagam
367.,"22-Dindigul","Velusamy, P.",Dravida Munnetra Kazhagam
368.,"23-Karur",Jothimani S,Indian National Congress
369.,"24-Tiruchirappalli",Thirunavukkarasar. SU,Indian National Congress
370.,"25-Perambalur","Dr. Paarivendhar, T. R.",Dravida Munnetra Kazhagam
371.,"26-Cuddalore",T. R. V .S. Ramesh,Dravida Munnetra Kazhagam
372.,"27-Chidambaram (SC)",Thirumaavalavan. Thol,Viduthalai Chairuthaigal Katchi
373.,"28-Mayiladuthurai",Ramalingam. S,Dravida Munnetra Kazhagam
374.,"29-Nagapattinam (SC)",Selvaraj M,Communist Party of India
375.,"30-Thanjavur","Palanimanickam,S.S.",Dravida Munnetra Kazhagam
376.,"31-Sivaganga",Karti P Chidambaram,Indian National Congress
377.,"32-Madurai",Venkatesan. S,"Communist Party of India(Marxist)"
378.,"33-Theni","Raveendranath Kumar, P.","All India Anna Dravida MunnetraKazhagam"
379.,"34-Virudhunagar","Manickam Tagore, B.",Indian National Congress
380.,"35-Ramanathapuram",K. Navaskani,Indian Union Muslim League
381.,"36-Thoothukkudi",Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam
382.,"37-Tenkasi (SC)",Dhanush.M.Kumar,Dravida Munnetra Kazhagam
383.,"38-Tirunelveli","Gnanathiraviam, S.",Dravida Munnetra Kazhagam
384.,"39-Kanniyakumari",Vasanthakumar. H,Indian National Congress
Telangana,,,
385.,"1-Adilabad (ST)",Soyam Bapu Rao,Bharatiya Janata Party
386.,"2-Peddapalle (SC)",Venkatesh Netha Borlakunta,Telangana Rashtra Samithi
387.,"3-Karimnagar",Bandi Sanjay Kumar,Bharatiya Janata Party
388.,"4-Nizamabad",Arvind Dharmapuri,Bharatiya Janata Party
389.,"5-Zahirabad",B.B.Patil,Telangana Rashtra Samithi
390.,"6-Medak",Kotha Prabhakar Reddy,Telangana Rashtra Samithi
391.,"7-Malkajgiri",Anumula Revanth Reddy,Indian National Congress
392.,"8-Secunderabad",G. Kishan Reddy,Bharatiya Janata Party
393.,"9-Hyderabad",Asaduddin Owaisi,"All India Majlis-E-IttehadulMuslimeen"
394.,"10-Chevella",Dr. G. Ranjith Reddy,Telangana Rashtra Samithi
395.,"11-Mahbubnagar",Manne Srinivas Reddy,Telangana Rashtra Samithi
396.,"12-Nagarkurnool (SC)",Pothuganti Ramulu,Telangana Rashtra Samithi
397.,"13-Nalgonda",Uttam Kumar Reddy Nalamada,Indian National Congress
398.,"14-Bhongir",Komati Reddy Venkat Reddy,Indian National Congress
399.,"15-Warangal(SC)",Dayakar Pasunoori,Telangana Rashtra Samithi
400.,"16-Mahabubabad (ST)",Kavitha Malothu,Telangana Rashtra Samithi
401.,"17-Khammam",Nama Nageswr Rao,Telangana Rashtra Samithi
Tripura,,,
402.,"1-Tripura West",Pratima Bhoumik,Bharatiya Janata Party
403.,"2-Tripura East (ST)",Rebati Tripura,Bharatiya Janata Party
Uttar Pradesh,,,
404.,"1-Saharanpur",Haji Fazlur Rehman,Bahujan Samaj Party
405.,"2-Kairana",Pradeep Kumar,Bharatiya Janata Party
406.,"3-Muzaffarnagar",Sanjeev Kumar Balyan,Bharatiya Janata Party
407.,"4-Bijnor",Malook Nagar,Bahujan Samaj Party
408.,"5-Nagina (SC)",Girish Chandra,Bahujan Samaj Party
409.,"6-Moradabad",Dr. S.T. Hasan,Samajwadi Party
410.,"7-Rampur",Mohammad Azam Khan,Samajwadi Party
411.,"8-Sambhal",Dr. Shafiqur Rehman Barq,Samajwadi Party
412.,"9-Amroha",Kunwar Danish Ali,Bahujan Samaj Party
413.,"10-Meerut",Rajendra Agarwal,Bharatiya Janata Party
414.,"11-Baghpat",Dr. Satyapal Singh,Bharatiya Janata Party
415.,"12-Ghaziabad",Vijay Kumar Singh,Bharatiya Janata Party
416.,"13-Gautam Buddha Nagar",Dr. Mahesh Sharma,Bharatiya Janata Party
417.,"14-Bulandshahr (SC)",Bhola Singh,Bharatiya Janata Party
418.,"15-Aligarh",Satish Kumar Gautam,Bharatiya Janata Party
419.,"16-Hathras (SC)",Rajvir Diler,Bharatiya Janata Party
420.,"17-Mathura",Hema Malini,Bharatiya Janata Party
421.,"18-Agra (SC)",Prof. S.P. Singh Baghel,Bharatiya Janata Party
422.,"19-Fatehpur Sikri",Rajkumar Chahar,Bharatiya Janata Party
423.,"20-Firozabad",Dr. Chandra Sen Jadon,Bharatiya Janata Party
424.,"21-Mainpuri",Mulayam Singh Yadav,Samajwadi Party
425.,"22-Etah",Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party
426.,"23-Badaun",Dr. Sanghmitra Maurya,Bharatiya Janata Party
427.,"24-Aonla",Dharmendra Kashyap,Bharatiya Janata Party
428.,"25-Bareilly",Santosh Kumar Gangwar,Bharatiya Janata Party
429.,"26-Pilibhit",Feroze Varun Gandhi,Bharatiya Janata Party
430.,"27-Shahjahanpur (SC)",Arun Kumar Sagar,Bharatiya Janata Party
431.,"28-Kheri",Ajay Kumar,Bharatiya Janata Party
432.,"29-Dhaurahra",Rekha Verma,Bharatiya Janata Party
433.,"30-Sitapur",Rajesh Verma,Bharatiya Janata Party
434.,"31-Hardoi (SC)",Jai Prakash,Bharatiya Janata Party
435.,"32-Misrikh (SC)",Ashok Kumar Rawat,Bharatiya Janata Party
436.,"33-Unnao",Swami Sakshi Ji Maharaj,Bharatiya Janata Party
437.,"34-Mohanlalganj (SC)",Kaushal Kishore,Bharatiya Janata Party
438.,"35-Lucknow",Rajnath Singh,Bharatiya Janata Party
439.,"36-Rae Bareli",Sonia Gandhi,Indian National Congress
440.,"37-Amethi",Smriti Irani,Bharatiya Janata Party
441.,"38-Sultanpur",Maneka Sanjai Gandhi,Bharatiya Janata Party
442.,"39-Pratapgarh",Sangam Lal Gupta,Bharatiya Janata Party
443.,"40-Farrukhabad",Mukesh Rajput,Bharatiya Janata Party
444.,"41-Etawah (SC)",Dr. Ram Shankar Katheria,Bharatiya Janata Party
445.,"42-Kannauj",Subrat Pathak,Bharatiya Janata Party
446.,"43-Kanpur",Satyadev Pachauri,Bharatiya Janata Party
447.,"44-Akbarpur",Devendra Singh 'Bhole',Bharatiya Janata Party
448.,"45-Jalaun (SC)",Bhanu Pratap Singh Verma,Bharatiya Janata Party
449.,"46-Jhansi",Anurag Sharma,Bharatiya Janata Party
450.,"47-Hamirpur","Kunwar Pushpendra SinghChandel",Bharatiya Janata Party
451.,"48-Banda",R.K. Singh Patel,Bharatiya Janata Party
452.,"49-Fatehpur",Niranjan Jyoti,Bharatiya Janata Party
453.,"50-Kaushambi (SC)",Vinod Kumar Sonkar,Bharatiya Janata Party
454.,"51-Phulpur",Keshari Devi Patel,Bharatiya Janata Party
455.,"52-Allahabad",Rita Bahuguna Joshi,Bharatiya Janata Party
456.,"53-Barabanki (SC)",Upendra Singh Rawat,Bharatiya Janata Party
457.,"54-Faizabad",Lallu Singh,Bharatiya Janata Party
458.,"55-Ambedkar Nagar",Ritesh Pandey,Bahujan Samaj Party
459.,"56-Bahraich (SC)",Akshaibar Lal,Bharatiya Janata Party
460.,"57-Kaiserganj",Brijbhusan Sharan Singh,Bharatiya Janata Party
461.,"58-Shrawasti",Ram Shiromani,Bahujan Samaj Party
462.,"59-Gonda","Kirti Vardhan Singh alias RajaBhaiya",Bharatiya Janata Party
463.,"60-Domariyaganj",Jagdambika Pal,Bharatiya Janata Party
464.,"61-Basti","Harish Chandra alias HarishDwivedi",Bharatiya Janata Party
465.,"62-Sant Kabir Nagar",Praveen Kumar Nishad,Bharatiya Janata Party
466.,"63-Maharajganj",Pankaj Choudhary,Bharatiya Janata Party
467.,"64-Gorakhpur","Ravindra Shyamnarayan Shuklaalias Ravi Kishan",Bharatiya Janata Party
468.,"65-Kushi Nagar",Vijay Kumar Dubey,Bharatiya Janata Party
469.,"66-Deoria",Ramapati Ram Tripathi,Bharatiya Janata Party
470.,"67-Bansgaon (SC)",Kamlesh Paswan,Bharatiya Janata Party
471.,"68-Lalganj (SC)",Sangeeta Azad,Bahujan Samaj Party
472.,"69-Azamgarh",Akhilesh Yadav,Samajwadi Party
473.,"70-Ghosi",Atul Kumar Singh alias Atul Rai,Bahujan Samaj Party
474.,"71-Salempur",Ravinder,Bharatiya Janata Party
475.,"72-Ballia",Virendra Singh,Bharatiya Janata Party
476.,"73-Jaunpur",Shyam Singh Yadav,Bahujan Samaj Party
477.,"74-Machhlishahr (SC)",Bholanath (B.P. Saroj),Bharatiya Janata Party
478.,"75-Ghazipur",Afzal Ansari,Bahujan Samaj Party
479.,"76-Chandauli",Dr. Mahendra Nath Pandey,Bharatiya Janata Party
480.,"77-Varanasi",Narendra Modi,Bharatiya Janata Party
481.,"78-Bhadohi",Ramesh Chand,Bharatiya Janata Party
482.,"79-Mirzapur",Anupriya Patel,Apna Dal (Soneylal)
483.,"80-Robertsganj (SC)",Pakauri Lal Kol,Apna Dal (Soneylal)
Uttarakhand,,,
484.,"1-Tehri Garhwal",Mala Rajya Laxmi Shah,Bharatiya Janata Party
485.,"2-Garhwal",Tirath Singh Rawat,Bharatiya Janata Party
486.,"3-Almora (SC)",Ajay Tamta,Bharatiya Janata Party
487.,"4-Nainital-Udhamsingh Nagar",Ajay Bhatt,Bharatiya Janata Party
West Bengal,,,
489.,"1-Coochbehar (SC)",Nisith Pramanik,Bharatiya Janata Party
490.,"2-Alipurduars (ST)",John Barla,Bharatiya Janata Party
491.,"3-Jalpaiguri (SC)",Dr. Jayanta Kumar Roy,Bharatiya Janata Party
492.,"4-Darjeeling",Raju Bista,Bharatiya Janata Party
493.,"5-Raiganj",Debasree Chaudhuri,Bharatiya Janata Party
494.,"6-Balurghat",Dr. Sukanta Majumdar,Bharatiya Janata Party
495.,"7-Maldaha Uttar",Khagen Murmu,Bharatiya Janata Party
496.,"8-Maldaha Dakshin","Abu Hasem Khan Chowdhury(Dalu)",Indian National Congress
497.,"9-Jangipur",Khalilur Rahaman,All India Trinamool Congress
498.,"10-Baharampur",Adhir Ranjan Chowdhury,Indian National Congress
499.,"11-Murshidabad",Abu Taher Khan,All India Trinamool Congress
500.,"12-Krishnanagar",Mahua Moitra,All India Trinamool Congress
501.,"13-Ranaghat (SC)",Jagannath Sarkar,Bharatiya Janata Party
502.,"14-Bangaon (SC)",Shantanu Thakur,Bharatiya Janata Party
503.,"15-Barrackpur",Arjun Singh,Bharatiya Janata Party
504.,"16-Dum Dum",Sougata Ray,All India Trinamool Congress
505.,"17-Barasat",Dr. Kakoli Ghoshdastidar,All India Trinamool Congress
506.,"18-Basirhat",Nusrat Jahan Ruhi,All India Trinamool Congress
507.,"19-Jaynagar (SC)",Pratima Mondal,All India Trinamool Congress
508.,"20-Mathurapur (SC)",Choudhury Mohan Jatua,All India Trinamool Congress
509.,"21-Diamond Harbour",Abhishek Banerjee,All India Trinamool Congress
510.,"22-Jadavpur",Mimi Chakraborty,All India Trinamool Congress
511.,"23-Kolkata Dakshin",Mala Roy,All India Trinamool Congress
512.,"24-Kolkata Uttar",Bandyopadhyay Sudip,All India Trinamool Congress
513.,"25-Howrah",Prasun Banerjee,All India Trinamool Congress
514.,"26-Uluberia",Sajda Ahmed,All India Trinamool Congress
515.,"27-Sreerampur",Kalyan Banerjee,All India Trinamool Congress
516.,"28-Hooghly",Locket Chatterjee,Bharatiya Janata Party
517.,"29-Arambag (SC)",Aparupa Poddar (Afrin Ali),All India Trinamool Congress
518.,"30-Tamluk",Adhikari Dibyendu,All India Trinamool Congress
519.,"31-Kanthi",Adhikari Sisir,All India Trinamool Congress
520.,"32-Ghatal",Adhikari Deepak (Dev),All India Trinamool Congress
521.,"33-Jhargram (ST)",Kunar Hembram,Bharatiya Janata Party
522.,"34-Medinipur",Dilip Ghosh,Bharatiya Janata Party
523.,"35-Purulia",Jyotirmay Singh Mahato,Bharatiya Janata Party
524.,"36-Bankura",Dr. Subhas Sarkar,Bharatiya Janata Party
525.,"37-Bishnupur (SC)",Khan Saumitra,Bharatiya Janata Party
526.,"38-Bardhaman Purba (SC)",Sunil Kumar Mondal,All India Trinamool Congress
527.,"39-Bardhaman-Durgapur",S.S. Ahluwalia,Bharatiya Janata Party
528.,"40-Asansol",Babul Supriyo,Bharatiya Janata Party
529.,"41-Bolpur (SC)",Asit Kumar Mal,All India Trinamool Congress
530.,"42-Birbhum",Satabdi Roy,All India Trinamool Congress
Andaman & Nicobar Islands,,,
531.,"1-Andaman & Nicobar Islands",Kuldeep Rai Sharma,Indian National Congress
Chandigarh,,,
532.,"1-Chandigarh",Kirron Kher,Bharatiya Janata Party
Dadra & Nagar Haveli,,,
533.,"1-Dadra & Nagar Haveli (ST)",Delkar Mohanbhai Sanjibhai,Independent
Daman & Diu,,,
534.,"1-Daman & Diu",Lalubhai Babubhai Patel,Bharatiya Janata Party
National Capital Territory of Delhi,,,
535.,"1-Chandni Chowk",Harsh Vardhan,Bharatiya Janata Party
536.,"2-North East Delhi",Manoj Tiwari,Bharatiya Janata Party
537.,"3-East Delhi",Gautam Gambhir,Bharatiya Janata Party
538.,"4-New Delhi",Meenakashi Lekhi,Bharatiya Janata Party
539.,"5-North West Delhi (SC)",Hans Raj Hans,Bharatiya Janata Party
540.,"6-West Delhi",Parvesh Sahib Singh Verma,Bharatiya Janata Party
541.,"7-South Delhi",Ramesh Bidhuri,Bharatiya Janata Party
Lakshadweep,,,
542.,"1-Lakshadweep (ST)",Mohammed Faizal P. P.,Nationalist Congress Party
Puducherry,,,
543.,"1-Puducherry",Ve. Vaithilingam,Indian National Congress
