Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Godam Nagesh,ADILABAD (ST),BJP,1,Post Graduate,"Rs 3,09,16,833  ~ 3 Crore+","Rs 29,01,575  ~ 29 Lacs+"
2,Prof S P Singh Baghel,AGRA (SC),BJP,0,Doctorate,"Rs 10,43,58,691  ~ 10 Crore+","Rs 51,70,325  ~ 51 Lacs+"
3,Hasmukhbhai Patel (H.S.Patel),AHMEDABAD EAST,BJP,0,12th Pass,"Rs 8,64,70,298  ~ 8 Crore+","Rs 1,35,15,602  ~ 1 Crore+"
4,Dineshbhai Makwana (Advocate),AHMEDABAD WEST (SC),BJP,0,Graduate Professional,"Rs 14,17,69,586  ~ 14 Crore+","Rs 1,32,22,046  ~ 1 Crore+"
5,Nilesh Dnyandev Lanke,AHMEDNAGAR,Nationalist Congress Party – Sharadchandra Pawar,2,Graduate,,
6,Bhagirath Choudhary,AJMER,BJP,0,12th Pass,"Rs 13,38,11,555  ~ 13 Crore+","Rs 54,32,413  ~ 54 Lacs+"
7,Devendra Singh Alias Bhole Singh,AKBARPUR,BJP,13,10th Pass,"Rs 4,78,28,524  ~ 4 Crore+","Rs 99,02,495  ~ 99 Lacs+"
8,Anup Sanjay Dhotre,AKOLA,BJP,1,Graduate,"Rs 10,92,59,962  ~ 10 Crore+","Rs 3,72,01,641  ~ 3 Crore+"
9,K. C Venugopal,ALAPPUZHA,INC,1,Post Graduate,"Rs 3,63,42,460  ~ 3 Crore+","Rs 2,72,817  ~ 2 Lacs+"
10,K.Radhakrishnan,ALATHUR (SC),CPI(M),0,Graduate,,
11,Satish Kumar Gautam,ALIGARH,BJP,0,Graduate,"Rs 16,06,24,125  ~ 16 Crore+","Rs 4,65,70,044  ~ 4 Crore+"
12,Manoj Tigga,ALIPURDUARS (ST),BJP,6,Graduate,"Rs 57,51,023  ~ 57 Lacs+","Rs 16,02,698  ~ 16 Lacs+"
13,Ujjwal Raman Singh,ALLAHABAD,INC,0,Graduate Professional,"Rs 26,89,88,675  ~ 26 Crore+","Rs 1,19,96,527  ~ 1 Crore+"
14,Ajay Tamta,ALMORA (SC),BJP,0,Graduate,"Rs 1,23,81,663  ~ 1 Crore+","Rs 19,09,642  ~ 19 Lacs+"
15,Bhupender Yadav,ALWAR,BJP,0,Graduate Professional,,
16,G M Harish (Balayogi),AMALAPURAM (SC),TDP,0,Graduate Professional,"Rs 10,53,89,128  ~ 10 Crore+","Rs 1,99,712  ~ 1 Lacs+"
17,Varun Chaudhry,AMBALA (SC),INC,0,Graduate Professional,"Rs 25,94,68,388  ~ 25 Crore+","Rs 61,73,716  ~ 61 Lacs+"
18,Lalji Verma,AMBEDKAR NAGAR,SP,2,Post Graduate,"Rs 11,02,72,584  ~ 11 Crore+","Rs 98,85,979  ~ 98 Lacs+"
19,Kishori Lal,AMETHI,INC,0,Graduate,"Rs 12,76,88,722  ~ 12 Crore+","Rs 4,69,96,348  ~ 4 Crore+"
20,Balwant Baswant Wankhade,AMRAVATI (SC),INC,1,12th Pass,,
21,Bharatbhai Manubhai Sutariya,AMRELI,BJP,0,10th Pass,"Rs 83,78,748  ~ 83 Lacs+",Rs 0  ~
22,Gurjeet Singh Aujla,AMRITSAR,INC,0,Graduate,"Rs 5,35,08,591  ~ 5 Crore+","Rs 1,37,81,750  ~ 1 Crore+"
23,Kanwar Singh Tanwar,AMROHA,BJP,1,8th Pass,"Rs 2,14,79,33,326  ~ 214 Crore+","Rs 1,98,97,537  ~ 1 Crore+"
24,C.M.Ramesh,ANAKAPALLE,BJP,5,12th Pass,"Rs 4,97,60,24,996  ~ 497 Crore+","Rs 1,01,61,83,515  ~ 101 Crore+"
25,Mitesh Patel (Bakabhai),ANAND,BJP,0,Others,,
26,Malvinder Singh Kang,ANANDPUR SAHIB,AAP,0,Post Graduate,"Rs 4,19,05,973  ~ 4 Crore+","Rs 20,13,285  ~ 20 Lacs+"
27,Ambica G Lakshminarayana Valmiki,ANANTHAPUR,TDP,8,Graduate,"Rs 4,75,40,056  ~ 4 Crore+","Rs 21,19,559  ~ 21 Lacs+"
28,Mian Altaf Ahmad,ANANTNAG-RAJOURI,Jammu & Kashmir National Conference,0,Graduate Professional,"Rs 20,93,30,000  ~ 20 Crore+",Rs 0  ~
29,Bishnu Pada Ray,ANDAMAN AND NICOBAR ISLANDS,BJP,0,Graduate,"Rs 2,74,39,170  ~ 2 Crore+","Rs 3,02,788  ~ 3 Lacs+"
30,Neeraj Maurya,AONLA,SP,0,Graduate Professional,,
31,S Jagathratchakan,ARAKKONAM,DMK,2,10th Pass,"Rs 53,45,87,828  ~ 53 Crore+","Rs 6,49,50,00,000  ~ 649 Crore+"
32,Gumma Thanuja Rani,ARAKU (ST),YSRCP,0,Graduate Professional,"Rs 23,54,678  ~ 23 Lacs+",Rs 0  ~
33,Mitali Bag,ARAMBAG (SC),AITC,0,Post Graduate,"Rs 7,84,955  ~ 7 Lacs+","Rs 4,31,294  ~ 4 Lacs+"
34,Tharaniventhan M S,ARANI,DMK,0,10th Pass,"Rs 1,71,61,977  ~ 1 Crore+","Rs 35,63,277  ~ 35 Lacs+"
35,Pradeep Kumar Singh,ARARIA,BJP,4,10th Pass,,
36,Sudama Prasad,ARRAH,CPI(ML)(L),3,Graduate,"Rs 90,98,946  ~ 90 Lacs+","Rs 29,21,615  ~ 29 Lacs+"
37,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,"Rs 15,05,37,706  ~ 15 Crore+",Rs 0  ~
38,Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,"Rs 4,94,03,234  ~ 4 Crore+",Rs 0  ~
39,Shatrughan Prasad Sinha,ASANSOL,AITC,0,Graduate,"Rs 2,10,50,41,638  ~ 210 Crore+","Rs 17,60,81,710  ~ 17 Crore+"
40,Anita Subhadarshini,ASKA,BJP,0,Post Graduate,,
41,Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,"Rs 18,09,33,863  ~ 18 Crore+","Rs 3,68,02,602  ~ 3 Crore+"
42,Bhumare Sandipanrao Asaram,AURANGABAD,Shiv Sena,4,10th Pass,"Rs 10,30,71,866  ~ 10 Crore+","Rs 2,45,87,200  ~ 2 Crore+"
43,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,"Rs 10,77,18,589  ~ 10 Crore+","Rs 4,78,01,483  ~ 4 Crore+"
44,Dharmendra Yadav,AZAMGARH,SP,4,Post Graduate,"Rs 13,50,32,793  ~ 13 Crore+","Rs 3,42,45,511  ~ 3 Crore+"
45,Aditya Yadav,BADAUN,SP,0,Post Graduate,,
46,Gaddigoudar Parvatgouda Chandangouda,BAGALKOT,BJP,0,Graduate Professional,"Rs 7,58,55,750  ~ 7 Crore+","Rs 2,44,46,219  ~ 2 Crore+"
47,Dr Rajkumar Sangwan,BAGHPAT,Rashtriya Lok Dal,3,Doctorate,"Rs 47,99,426  ~ 47 Lacs+",Rs 0  ~
48,Pathan Yusuf,BAHARAMPUR,AITC,0,10th Pass,"Rs 45,63,04,016  ~ 45 Crore+","Rs 11,96,70,558  ~ 11 Crore+"
49,Anand Kumar,BAHRAICH (SC),BJP,0,Doctorate,"Rs 9,26,23,979  ~ 9 Crore+","Rs 1,41,28,198  ~ 1 Crore+"
50,Bharti Pardhi,BALAGHAT,BJP,0,Graduate,,
51,Pratap Chandra Sarangi,BALASORE,BJP,9,Graduate,"Rs 49,59,072  ~ 49 Lacs+",Rs 0  ~
52,Sanatan Pandey,BALLIA,SP,2,Others,"Rs 2,49,50,786  ~ 2 Crore+","Rs 6,24,502  ~ 6 Lacs+"
53,Sukanta Majumdar,BALURGHAT,BJP,16,Doctorate,"Rs 1,24,76,825  ~ 1 Crore+","Rs 11,25,114  ~ 11 Lacs+"
54,Geniben Nagaji Thakor,BANASKANTHA,INC,1,Graduate,"Rs 85,33,965  ~ 85 Lacs+","Rs 6,27,886  ~ 6 Lacs+"
55,Krishna Devi Shivshanker Patel,BANDA,SP,0,12th Pass,,
56,P C Mohan,BANGALORE CENTRAL,BJP,2,12th Pass,"Rs 81,30,65,207  ~ 81 Crore+","Rs 15,86,34,664  ~ 15 Crore+"
57,Shobha Karandlaje,BANGALORE NORTH,BJP,5,Post Graduate,"Rs 13,88,66,909  ~ 13 Crore+","Rs 4,06,00,640  ~ 4 Crore+"
58,Dr C N Manjunath,BANGALORE RURAL,BJP,0,Post Graduate,"Rs 98,38,83,816  ~ 98 Crore+","Rs 14,81,46,673  ~ 14 Crore+"
59,Tejasvi Surya,BANGALORE SOUTH,BJP,3,Graduate Professional,"Rs 4,10,30,489  ~ 4 Crore+",Rs 0  ~
60,Shantanu Thakur,BANGAON (SC),BJP,23,Graduate,,
61,Giridhari Yadav,BANKA,JD(U),0,Post Graduate,"Rs 1,72,81,101  ~ 1 Crore+","Rs 56,95,769  ~ 56 Lacs+"
62,Arup Chakraborty,BANKURA,AITC,0,Graduate Professional,"Rs 17,19,11,710  ~ 17 Crore+","Rs 6,56,85,037  ~ 6 Crore+"
63,Kamlesh Paswan,BANSGAON (SC),BJP,9,Graduate,"Rs 36,18,30,259  ~ 36 Crore+","Rs 3,52,83,210  ~ 3 Crore+"
64,Raj Kumar Roat,BANSWARA (ST),Bharat Adivasi Party,1,Graduate Professional,"Rs 1,17,31,679  ~ 1 Crore+","Rs 29,71,833  ~ 29 Lacs+"
65,Krishna Prasad Tenneti,BAPATLA (SC),TDP,0,Post Graduate,,
66,Tanuj Punia,BARABANKI (SC),INC,1,Graduate Professional,"Rs 2,71,31,091  ~ 2 Crore+","Rs 2,43,280  ~ 2 Lacs+"
67,Supriya Sule,BARAMATI,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate,"Rs 1,66,51,86,348  ~ 166 Crore+","Rs 55,00,000  ~ 55 Lacs+"
68,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424  ~ 1 Crore+","Rs 14,42,558  ~ 14 Lacs+"
69,Kakoli Ghosh Dastidar,BARASAT,AITC,2,Post Graduate,"Rs 7,58,56,851  ~ 7 Crore+","Rs 35,92,730  ~ 35 Lacs+"
70,Dr. Sharmila Sarkar,BARDHAMAN PURBA (SC),AITC,0,Post Graduate,,
71,Parbhubhai Nagarbhai Vasava,BARDOLI (ST),BJP,0,Others,"Rs 4,70,03,506  ~ 4 Crore+","Rs 84,55,874  ~ 84 Lacs+"
72,Chhatra Pal Singh Gangwar,BAREILLY,BJP,2,Post Graduate,"Rs 4,87,88,862  ~ 4 Crore+","Rs 70,44,201  ~ 70 Lacs+"
73,Pradeep Purohit,BARGARH,BJP,8,10th Pass,"Rs 2,25,95,410  ~ 2 Crore+","Rs 6,76,737  ~ 6 Lacs+"
74,Ummeda Ram Beniwal,BARMER,INC,0,Graduate,"Rs 19,27,65,969  ~ 19 Crore+","Rs 6,62,44,492  ~ 6 Crore+"
75,Phani Bhusan Choudhury,BARPETA,Asom Gana Parishad,1,Graduate,,
76,Partha Bhowmick,BARRACKPUR,AITC,2,Post Graduate,"Rs 5,42,35,841  ~ 5 Crore+","Rs 1,10,51,557  ~ 1 Crore+"
77,Sk Nurul Islam,BASIRHAT,AITC,0,12th Pass,"Rs 1,60,02,842  ~ 1 Crore+",Rs 0  ~
78,Mahesh Kashyap,BASTAR (ST),BJP,0,8th Pass,"Rs 39,67,309  ~ 39 Lacs+","Rs 34,980  ~ 34 Thou+"
79,Ram Prasad Chaudhary,BASTI,SP,4,Others,"Rs 9,81,52,477  ~ 9 Crore+","Rs 37,45,441  ~ 37 Lacs+"
80,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,,
81,Bajrang Manohar Sonwane,BEED,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate,"Rs 28,92,78,459  ~ 28 Crore+","Rs 7,75,15,217  ~ 7 Crore+"
82,Giriraj Singh,BEGUSARAI,BJP,3,Graduate,"Rs 14,31,69,297  ~ 14 Crore+","Rs 90,00,000  ~ 90 Lacs+"
83,Jagadish Shettar,BELGAUM,BJP,0,Graduate Professional,"Rs 13,38,15,982  ~ 13 Crore+","Rs 71,66,354  ~ 71 Lacs+"
84,E. Tukaram,BELLARY (ST),INC,0,Post Graduate,"Rs 3,52,67,209  ~ 3 Crore+","Rs 1,23,25,000  ~ 1 Crore+"
85,Dr Pradeep Kumar Panigrahy,BERHAMPUR,BJP,9,Doctorate,,
86,Durgadas (D. D.) Uikey,BETUL (ST),BJP,0,Post Graduate,"Rs 1,84,87,232  ~ 1 Crore+","Rs 11,82,315  ~ 11 Lacs+"
87,Dr. Vinod Kumar Bind,BHADOHI,BJP,0,Graduate Professional,"Rs 10,57,66,111  ~ 10 Crore+","Rs 2,93,13,481  ~ 2 Crore+"
88,Avimanyu Sethi,BHADRAK (SC),BJP,0,Post Graduate,"Rs 7,07,94,290  ~ 7 Crore+","Rs 1,06,59,172  ~ 1 Crore+"
89,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,"Rs 1,22,32,756  ~ 1 Crore+","Rs 49,80,480  ~ 49 Lacs+"
90,Dr. Prashant Yadaorao Padole,BHANDARA GONDIYA,INC,0,Graduate Professional,,
91,Sanjna Jatav,BHARATPUR (SC),INC,0,Graduate,"Rs 23,10,193  ~ 23 Lacs+","Rs 7,15,340  ~ 7 Lacs+"
92,Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,"Rs 2,54,99,808  ~ 2 Crore+","Rs 11,04,414  ~ 11 Lacs+"
93,Nimuben Jayantibhai Bambhaniya (Nimuben Bambhaniya),BHAVNAGAR,BJP,0,Graduate Professional,"Rs 2,61,15,193  ~ 2 Crore+","Rs 58,29,447  ~ 58 Lacs+"
94,Damodar Agarwal,BHILWARA,BJP,1,Post Graduate,"Rs 7,13,92,415  ~ 7 Crore+","Rs 33,20,600  ~ 33 Lacs+"
95,Sandhya Ray,BHIND (SC),BJP,0,Post Graduate,,
96,Suresh Gopinath Mhatre Alias Balya Mama,BHIWANDI,Nationalist Congress Party – Sharadchandra Pawar,0,12th Pass,"Rs 1,07,55,34,826  ~ 107 Crore+","Rs 75,65,59,886  ~ 75 Crore+"
97,Dharambir Singh,BHIWANI-MAHENDRAGARH,BJP,0,Graduate,"Rs 11,56,64,424  ~ 11 Crore+",Rs 0  ~
98,Chamala Kiran Kumar Reddy,BHONGIR,INC,3,12th Pass,"Rs 28,72,11,468  ~ 28 Crore+","Rs 73,48,373  ~ 73 Lacs+"
99,Alok Sharma,BHOPAL,BJP,4,Graduate,"Rs 8,86,25,237  ~ 8 Crore+","Rs 1,30,24,310  ~ 1 Crore+"
100,Aparajita Sarangi,BHUBANESWAR,BJP,1,Graduate,,
101,Sagar Eshwar Khandre,BIDAR,INC,0,Graduate Professional,"Rs 13,43,73,930  ~ 13 Crore+","Rs 1,50,00,000  ~ 1 Crore+"
102,Ramesh Jigajinagi,BIJAPUR (SC),BJP,0,Graduate,"Rs 51,63,15,994  ~ 51 Crore+","Rs 6,81,16,765  ~ 6 Crore+"
103,Chandan Chauhan,BIJNOR,Rashtriya Lok Dal,3,Graduate Professional,"Rs 7,84,26,582  ~ 7 Crore+","Rs 25,72,810  ~ 25 Lacs+"
104,Arjun Ram Meghwal,BIKANER (SC),BJP,0,Post Graduate,"Rs 3,76,54,863  ~ 3 Crore+",Rs 0  ~
105,Tokhan Sahu,BILASPUR,BJP,0,Post Graduate,,
106,Satabdi Roy,BIRBHUM,AITC,0,Graduate,"Rs 10,92,45,500  ~ 10 Crore+","Rs 2,01,71,392  ~ 2 Crore+"
107,Khan Saumitra,BISHNUPUR (SC),BJP,15,12th Pass,"Rs 3,08,55,712  ~ 3 Crore+","Rs 46,72,966  ~ 46 Lacs+"
108,Sangeeta Kumari Singh Deo,BOLANGIR,BJP,1,Graduate,"Rs 67,30,60,630  ~ 67 Crore+","Rs 75,00,000  ~ 75 Lacs+"
109,Asit Kumar Mal,BOLPUR,AITC,0,Graduate,"Rs 1,12,57,405  ~ 1 Crore+","Rs 4,64,417  ~ 4 Lacs+"
110,Dr Bhola Singh,BULANDSHAHR (SC),BJP,1,Graduate,,
111,Jadhav Prataprao Ganpatrao,BULDHANA,Shiv Sena,2,12th Pass,"Rs 16,42,60,448  ~ 16 Crore+","Rs 14,67,110  ~ 14 Lacs+"
112,Azad Kirti Jha,BURDWAN - DURGAPUR,AITC,1,Graduate,"Rs 10,20,14,033  ~ 10 Crore+","Rs 57,38,812  ~ 57 Lacs+"
113,Sudhakar Singh,BUXAR,RJD,3,Graduate,"Rs 6,78,51,400  ~ 6 Crore+","Rs 5,73,94,347  ~ 5 Crore+"
114,Benny Behanan,CHALAKUDY,INC,5,Graduate,"Rs 3,50,20,209  ~ 3 Crore+","Rs 78,93,411  ~ 78 Lacs+"
115,Sunil Bose,CHAMARAJANAGAR (SC),INC,1,12th Pass,,
116,Birendra Singh,CHANDAULI,SP,3,Graduate,"Rs 18,80,17,648  ~ 18 Crore+","Rs 11,54,113  ~ 11 Lacs+"
117,Manish Tewari,CHANDIGARH,INC,0,Graduate Professional,"Rs 29,68,42,688  ~ 29 Crore+","Rs 2,49,93,400  ~ 2 Crore+"
118,Praveen Khandelwal,CHANDNI CHOWK,BJP,0,Graduate Professional,"Rs 11,70,39,798  ~ 11 Crore+","Rs 6,06,45,587  ~ 6 Crore+"
119,Dhanorkar Pratibha Suresh Alias Balubhau,CHANDRAPUR,INC,0,12th Pass,"Rs 80,37,22,094  ~ 80 Crore+","Rs 55,23,86,611  ~ 55 Crore+"
120,Kali Charan Singh,CHATRA,BJP,2,Graduate,,
121,Dayanidhi Maran,CHENNAI CENTRAL,DMK,4,Graduate,"Rs 17,07,70,037  ~ 17 Crore+",Rs 0  ~
122,Dr.Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,"Rs 61,06,14,066  ~ 61 Crore+","Rs 38,33,64,472  ~ 38 Crore+"
123,Sumathy T,CHENNAI SOUTH,DMK,0,Doctorate,"Rs 14,86,58,298  ~ 14 Crore+","Rs 1,71,99,881  ~ 1 Crore+"
124,Konda Vishweshwar Reddy,CHEVELLA,BJP,4,Graduate Professional,"Rs 45,68,22,22,094  ~ 4568 Crore+","Rs 13,83,36,195  ~ 13 Crore+"
125,Bunty Vivek Sahu,CHHINDWARA,BJP,1,Graduate,,
126,Jashubhai Bhilubhai Rathva,CHHOTA UDAIPUR (ST),BJP,1,Graduate,"Rs 1,65,89,045  ~ 1 Crore+","Rs 19,40,506  ~ 19 Lacs+"
127,Thirumaavalavan Thol,CHIDAMBARAM (SC),Viduthalai Chiruthaigal Katchi,7,Doctorate,"Rs 2,44,55,903  ~ 2 Crore+","Rs 83,969  ~ 83 Thou+"
128,Dr.K.Sudhakar,CHIKKBALLAPUR,BJP,1,Graduate Professional,"Rs 33,41,63,156  ~ 33 Crore+","Rs 20,34,48,949  ~ 20 Crore+"
129,Priyanka Satish Jarkiholi,CHIKKODI,INC,0,Post Graduate,"Rs 9,11,57,625  ~ 9 Crore+","Rs 1,57,43,768  ~ 1 Crore+"
130,Govind Makthappa Karjol,CHITRADURGA (SC),BJP,0,10th Pass,,
131,Daggumalla Prasada Rao,CHITTOOR (SC),TDP,0,Graduate,"Rs 38,44,93,765  ~ 38 Crore+","Rs 8,02,79,565  ~ 8 Crore+"
132,Chandra Prakash Joshi,CHITTORGARH,BJP,0,Graduate Professional,"Rs 4,09,73,304  ~ 4 Crore+","Rs 86,27,349  ~ 86 Lacs+"
133,Rahul Kaswan,CHURU,INC,0,Graduate,"Rs 5,33,22,989  ~ 5 Crore+","Rs 2,44,17,448  ~ 2 Crore+"
134,Ganapathy Rajkumar P,COIMBATORE,DMK,1,Doctorate,"Rs 89,03,97,608  ~ 89 Crore+","Rs 3,32,84,669  ~ 3 Crore+"
135,Jagadish Chandra Barma Basunia,COOCH BEHAR (SC),AITC,1,Graduate Professional,,
136,M.K. Vishnuprasad,CUDDALORE,INC,1,Graduate Professional,"Rs 25,19,78,580  ~ 25 Crore+","Rs 5,11,11,885  ~ 5 Crore+"
137,Bhartruhari Mahtab,CUTTACK,BJP,1,Post Graduate,"Rs 19,90,52,798  ~ 19 Crore+",Rs 0  ~
138,Delkar Kalaben Mohanbhai,DADAR & NAGAR HAVELI (ST),BJP,0,Graduate,"Rs 71,44,54,357  ~ 71 Crore+","Rs 1,58,39,426  ~ 1 Crore+"
139,Jaswantsinh Sumanbhai Bhabhor,DAHOD (ST),BJP,0,Graduate Professional,"Rs 4,84,04,861  ~ 4 Crore+","Rs 62,87,842  ~ 62 Lacs+"
140,Captain Brijesh Chowta,DAKSHINA KANNADA,BJP,1,Graduate,,
141,Patel Umeshbhai Babubhai,DAMAN & DIU,IND,14,Graduate,"Rs 47,52,198  ~ 47 Lacs+","Rs 4,06,981  ~ 4 Lacs+"
142,Rahul Singh Lodhi,DAMOH,BJP,0,12th Pass,"Rs 1,63,55,135  ~ 1 Crore+","Rs 5,53,202  ~ 5 Lacs+"
143,Gopal Jee Thakur,DARBHANGA,BJP,1,Doctorate,"Rs 3,90,78,830  ~ 3 Crore+","Rs 68,75,610  ~ 68 Lacs+"
144,Raju Bista,DARJEELING,BJP,2,Graduate,"Rs 47,53,57,268  ~ 47 Crore+","Rs 27,94,788  ~ 27 Lacs+"
145,Dilip Saikia,DARRANG-UDALGURI,BJP,0,Graduate,,
146,Murari Lal Meena,DAUSA (ST),INC,0,Others,"Rs 13,57,14,010  ~ 13 Crore+","Rs 21,66,932  ~ 21 Lacs+"
147,Dr. Prabha Mallikarjun,DAVANAGERE,INC,0,Graduate,"Rs 2,41,28,03,910  ~ 241 Crore+","Rs 24,71,24,278  ~ 24 Crore+"
148,Shashank Mani,DEORIA,BJP,0,Post Graduate,"Rs 25,55,40,212  ~ 25 Crore+",Rs 0  ~
149,Mahendra Singh Solanky,DEWAS (SC),BJP,2,Graduate Professional,"Rs 38,17,399  ~ 38 Lacs+","Rs 27,11,920  ~ 27 Lacs+"
150,Dulu Mahato,DHANBAD,BJP,22,12th Pass,,
151,Savitri Thakur,DHAR (ST),BJP,0,12th Pass,"Rs 5,31,07,546  ~ 5 Crore+","Rs 69,63,601  ~ 69 Lacs+"
152,Mani. A.,DHARMAPURI,DMK,1,Graduate Professional,"Rs 8,65,64,403  ~ 8 Crore+","Rs 2,12,87,262  ~ 2 Crore+"
153,Pralhad Joshi,DHARWAD,BJP,0,Graduate,"Rs 21,09,60,953  ~ 21 Crore+","Rs 8,01,23,332  ~ 8 Crore+"
154,Anand Bhadauriya,DHAURAHRA,SP,4,Post Graduate,"Rs 9,97,23,807  ~ 9 Crore+","Rs 9,60,867  ~ 9 Lacs+"
155,Rudra Narayan Pany,DHENKANAL,BJP,8,Graduate,,
156,Rakibul Hussain,DHUBRI,INC,0,Post Graduate,"Rs 25,29,63,888  ~ 25 Crore+","Rs 4,36,46,481  ~ 4 Crore+"
157,Bachhav Shobha Dinesh,DHULE,INC,2,Others,"Rs 30,50,35,058  ~ 30 Crore+","Rs 2,11,60,000  ~ 2 Crore+"
158,Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,"Rs 2,32,64,563  ~ 2 Crore+","Rs 36,00,000  ~ 36 Lacs+"
159,Sarbananda Sonowal,DIBRUGARH,BJP,0,Graduate Professional,"Rs 4,75,85,258  ~ 4 Crore+","Rs 25,78,370  ~ 25 Lacs+"
160,Sachithanantham R,DINDIGUL,CPI(M),9,Graduate,,
161,Bhaskar Murlidhar Bhagare,DINDORI (ST),Nationalist Congress Party – Sharadchandra Pawar,0,Post Graduate,"Rs 1,74,50,827  ~ 1 Crore+","Rs 24,44,380  ~ 24 Lacs+"
162,Amarsing Tisso,DIPHU (ST),BJP,0,12th Pass,"Rs 22,78,63,561  ~ 22 Crore+","Rs 5,40,75,091  ~ 5 Crore+"
163,Jagdambika Pal,DOMARIYAGANJ,BJP,1,Post Graduate,"Rs 19,35,36,623  ~ 19 Crore+","Rs 74,87,022  ~ 74 Lacs+"
164,Sougata Ray,DUM DUM,AITC,1,Post Graduate,"Rs 5,12,30,026  ~ 5 Crore+",Rs 0  ~
165,Nalin Soren,DUMKA (ST),JMM,2,12th Pass,,
166,Vijay Baghel,DURG,BJP,0,Graduate,"Rs 3,71,62,950  ~ 3 Crore+","Rs 38,54,273  ~ 38 Lacs+"
167,Harsh Malhotra,EAST DELHI,BJP,0,Graduate Professional,"Rs 4,08,24,015  ~ 4 Crore+",Rs 0  ~
168,Putta Mahesh Kumar,ELURU,TDP,1,Graduate Professional,"Rs 72,08,51,715  ~ 72 Crore+","Rs 20,04,30,056  ~ 20 Crore+"
169,Hibi Eden,ERNAKULAM,INC,10,Graduate,"Rs 3,40,00,696  ~ 3 Crore+","Rs 44,54,363  ~ 44 Lacs+"
170,K E Prakash,ERODE,DMK,0,Graduate,,
171,Devesh Shakya,ETAH,SP,1,Post Graduate,"Rs 3,40,61,340  ~ 3 Crore+","Rs 4,42,323  ~ 4 Lacs+"
172,Jitendra Kumar Dohare,ETAWAH (SC),SP,0,12th Pass,"Rs 6,22,50,170  ~ 6 Crore+","Rs 31,68,054  ~ 31 Lacs+"
173,Awadhesh Prasad,FAIZABAD,SP,1,Post Graduate,"Rs 5,29,67,071  ~ 5 Crore+","Rs 10,00,000  ~ 10 Lacs+"
174,Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,"Rs 62,58,15,843  ~ 62 Crore+","Rs 3,98,47,197  ~ 3 Crore+"
175,Sarabjeet Singh Khalsa,FARIDKOT (SC),IND,0,10th Pass,,
176,Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,"Rs 9,36,80,840  ~ 9 Crore+",Rs 0  ~
177,Amar Singh,FATEHGARH SAHIB (SC),INC,0,Post Graduate,"Rs 5,42,80,612  ~ 5 Crore+",Rs 0  ~
178,Naresh Chandra Uttam Patel,FATEHPUR,SP,0,Post Graduate,"Rs 4,93,48,208  ~ 4 Crore+",Rs 0  ~
179,Rajkumar Chahar,FATEHPUR SIKRI,BJP,2,Graduate,"Rs 3,41,76,612  ~ 3 Crore+","Rs 19,64,321  ~ 19 Lacs+"
180,Akshaya Yadav,FIROZABAD,SP,3,Graduate Professional,,
