Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
181,Sher Singh Ghubaya,FIROZPUR,INC,0,10th Pass,"Rs 9,11,61,885  ~ 9 Crore+","Rs 43,78,380  ~ 43 Lacs+"
182,Dr. Kirsan Namdeo,GADCHIROLI - CHIMUR (ST),INC,0,Doctorate,"Rs 5,94,76,042  ~ 5 Crore+","Rs 28,28,488  ~ 28 Lacs+"
183,Amit Shah,GANDHINAGAR,BJP,3,12th Pass,"Rs 65,67,12,498  ~ 65 Crore+","Rs 42,09,587  ~ 42 Lacs+"
184,Kuldeep Indora,GANGANAGAR (SC),INC,0,Post Graduate,"Rs 13,71,89,112  ~ 13 Crore+","Rs 1,75,37,144  ~ 1 Crore+"
185,Anil Baluni,GARHWAL,BJP,0,Graduate,,
186,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,"Rs 83,82,09,103  ~ 83 Crore+","Rs 2,26,89,478  ~ 2 Crore+"
187,Jitan Ram Manjhi,GAYA (SC),Hindustani Awam Morcha (Secular),6,Graduate,"Rs 30,20,578  ~ 30 Lacs+",Rs 0  ~
188,Adhikari Deepak (Dev),GHATAL,AITC,0,Others,"Rs 37,13,47,069  ~ 37 Crore+","Rs 2,86,03,907  ~ 2 Crore+"
189,Atul Garg,GHAZIABAD,BJP,0,12th Pass,"Rs 26,97,82,311  ~ 26 Crore+","Rs 1,29,01,326  ~ 1 Crore+"
190,Afzal Ansari,GHAZIPUR,SP,5,Post Graduate,,
191,Rajeev Rai,GHOSI,SP,1,Doctorate,"Rs 49,41,88,267  ~ 49 Crore+","Rs 6,29,52,119  ~ 6 Crore+"
192,Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,"Rs 4,98,49,182  ~ 4 Crore+","Rs 2,70,31,670  ~ 2 Crore+"
193,Nishikant Dubey,GODDA,BJP,8,Doctorate,"Rs 74,69,74,208  ~ 74 Crore+","Rs 8,28,00,000  ~ 8 Crore+"
194,Kirtivardhan Singh,GONDA,BJP,3,Post Graduate,"Rs 37,07,96,430  ~ 37 Crore+","Rs 1,19,41,662  ~ 1 Crore+"
195,Dr. Alok Kumar Suman,GOPALGANJ (SC),JD(U),0,Post Graduate,,
196,Ravindra Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,"Rs 43,32,35,340  ~ 43 Crore+","Rs 1,78,14,634  ~ 1 Crore+"
197,Radhakrishna,GULBARGA (SC),INC,1,10th Pass,"Rs 53,38,99,960  ~ 53 Crore+","Rs 7,23,86,247  ~ 7 Crore+"
198,Jyotiraditya M. Scindia,GUNA,BJP,0,Post Graduate,"Rs 4,24,74,94,078  ~ 424 Crore+","Rs 48,24,000  ~ 48 Lacs+"
199,Dr Chandra Sekhar Pemmasani,GUNTUR,TDP,1,Post Graduate,"Rs 57,05,47,27,538  ~ 5705 Crore+","Rs 10,38,00,00,000  ~ 1038 Crore+"
200,Sukhjinder Singh Randhawa,GURDASPUR,INC,0,12th Pass,,
201,Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,"Rs 1,21,54,22,868  ~ 121 Crore+","Rs 13,36,70,844  ~ 13 Crore+"
202,Bijuli Kalita Medhi,GUWAHATI,BJP,0,Post Graduate,"Rs 1,61,89,751  ~ 1 Crore+",Rs 0  ~
203,Bharat Singh Kushwah,GWALIOR,BJP,0,12th Pass,"Rs 2,88,09,530  ~ 2 Crore+","Rs 62,76,267  ~ 62 Lacs+"
204,Chirag Paswan,HAJIPUR (SC),Lok Janshakti Party(Ram Vilas),0,12th Pass,"Rs 2,68,75,873  ~ 2 Crore+",Rs 0  ~
205,Anurag Singh Thakur,HAMIRPUR,BJP,1,Graduate,,
206,Ajendra Singh Lodhi,HAMIRPUR,SP,0,12th Pass,"Rs 5,02,37,175  ~ 5 Crore+","Rs 74,85,000  ~ 74 Lacs+"
207,Jai Prakash,HARDOI (SC),BJP,0,Graduate,"Rs 30,39,74,608  ~ 30 Crore+","Rs 5,25,12,656  ~ 5 Crore+"
208,Trivendra Singh Rawat,HARIDWAR,BJP,0,Post Graduate,"Rs 6,75,52,039  ~ 6 Crore+","Rs 75,00,000  ~ 75 Lacs+"
209,Shreyas. M. Patel,HASSAN,INC,1,Graduate,"Rs 42,67,10,045  ~ 42 Crore+","Rs 88,80,873  ~ 88 Lacs+"
210,Anoop Pradhan Balmiki,HATHRAS (SC),BJP,1,12th Pass,,
211,Dhairyasheel Sambhajirao Mane,HATKANANGALE,Shiv Sena,0,Graduate,"Rs 4,51,31,759  ~ 4 Crore+","Rs 1,00,00,000  ~ 1 Crore+"
212,Basavaraj Bommai,HAVERI,BJP,0,Graduate Professional,"Rs 53,95,04,552  ~ 53 Crore+","Rs 5,46,34,074  ~ 5 Crore+"
213,Manish Jaiswal,HAZARIBAGH,BJP,2,Graduate,"Rs 36,29,99,932  ~ 36 Crore+","Rs 5,88,96,276  ~ 5 Crore+"
214,B K Parthasarathi,HINDUPUR,TDP,15,Graduate,"Rs 16,89,59,895  ~ 16 Crore+","Rs 1,78,90,470  ~ 1 Crore+"
215,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,,
216,Jai Parkash (J P) S/O Harikesh,HISAR,INC,0,12th Pass,"Rs 6,80,53,567  ~ 6 Crore+","Rs 1,31,94,392  ~ 1 Crore+"
217,Rachna Banerjee,HOOGHLY,AITC,0,12th Pass,"Rs 35,53,17,030  ~ 35 Crore+",Rs 0  ~
218,Darshan Singh Choudhary,HOSHANGABAD,BJP,0,Post Graduate,"Rs 93,49,061  ~ 93 Lacs+",Rs 0  ~
219,Dr. Raj Kumar Chabbewal,HOSHIARPUR (SC),AAP,0,Post Graduate,"Rs 20,76,95,398  ~ 20 Crore+","Rs 8,44,02,704  ~ 8 Crore+"
220,Prasun Banerjee,HOWRAH,AITC,1,Graduate,,
221,Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,5,Graduate Professional,"Rs 23,87,66,044  ~ 23 Crore+","Rs 7,05,00,000  ~ 7 Crore+"
222,Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,"Rs 2,07,97,763  ~ 2 Crore+","Rs 36,19,970  ~ 36 Lacs+"
223,Shankar Lalwani,INDORE,BJP,0,Graduate Professional,"Rs 1,95,22,412  ~ 1 Crore+","Rs 10,09,835  ~ 10 Lacs+"
224,Angomcha Bimol Akoijam,INNER MANIPUR,INC,0,Doctorate,"Rs 97,67,556  ~ 97 Lacs+","Rs 34,84,121  ~ 34 Lacs+"
225,Ashish Dubey,JABALPUR,BJP,0,Graduate Professional,,
226,Sayani Ghosh,JADAVPUR,AITC,1,12th Pass,"Rs 91,89,462  ~ 91 Lacs+","Rs 59,85,716  ~ 59 Lacs+"
227,Bibhu Prasad Tarai,JAGATSINGHPUR (SC),BJP,3,Post Graduate,"Rs 1,79,74,886  ~ 1 Crore+","Rs 9,50,000  ~ 9 Lacs+"
228,Surendra Prasad Yadav,JAHANABAD,RJD,7,Post Graduate,"Rs 13,87,54,448  ~ 13 Crore+",Rs 0  ~
229,Manju Sharma,JAIPUR,BJP,0,Post Graduate,"Rs 2,36,61,843  ~ 2 Crore+","Rs 41,69,859  ~ 41 Lacs+"
230,Rao Rajendra Singh,JAIPUR RURAL,BJP,0,Graduate,,
231,Rabindra Narayan Behera,JAJPUR (SC),BJP,0,Doctorate,"Rs 4,55,67,092  ~ 4 Crore+",Rs 0  ~
232,Charanjit Singh Channi,JALANDHAR (SC),INC,0,Doctorate,"Rs 10,21,19,804  ~ 10 Crore+","Rs 41,39,547  ~ 41 Lacs+"
233,Narayan Das Ahirwar,JALAUN (SC),SP,0,Graduate Professional,"Rs 7,36,03,801  ~ 7 Crore+","Rs 6,00,000  ~ 6 Lacs+"
234,Smita Uday Wagh,JALGAON,BJP,0,Graduate,"Rs 8,74,77,424  ~ 8 Crore+","Rs 1,85,76,577  ~ 1 Crore+"
235,Kalyan Vaijinathrao Kale,JALNA,INC,2,Others,,
236,Lumbaram,JALORE,BJP,0,10th Pass,"Rs 1,95,87,446  ~ 1 Crore+","Rs 6,26,171  ~ 6 Lacs+"
237,Dr Jayanta Kumar Roy,JALPAIGURI (SC),BJP,0,Post Graduate,"Rs 1,93,56,558  ~ 1 Crore+","Rs 56,196  ~ 56 Thou+"
238,Jugal Kishore,JAMMU,BJP,0,10th Pass,"Rs 7,63,78,942  ~ 7 Crore+","Rs 80,13,699  ~ 80 Lacs+"
239,Poonamben Hematbhai Maadam,JAMNAGAR,BJP,0,Graduate,"Rs 1,47,70,02,341  ~ 147 Crore+","Rs 53,00,00,000  ~ 53 Crore+"
240,Bidyut Baran Mahato,JAMSHEDPUR,BJP,1,12th Pass,,
241,Arun Bharti,JAMUI (SC),Lok Janshakti Party(Ram Vilas),0,Post Graduate,"Rs 6,48,70,319  ~ 6 Crore+","Rs 3,12,04,393  ~ 3 Crore+"
242,Khalilur Rahaman,JANGIPUR,AITC,0,Graduate,"Rs 51,43,46,283  ~ 51 Crore+","Rs 95,70,794  ~ 95 Lacs+"
243,Kamlesh Jangde,JANJGIR-CHAMPA (SC),BJP,0,Post Graduate,"Rs 1,54,62,143  ~ 1 Crore+","Rs 13,80,075  ~ 13 Lacs+"
244,Babu Singh Kushwaha,JAUNPUR,SP,25,12th Pass,"Rs 20,01,49,000  ~ 20 Crore+","Rs 2,82,55,000  ~ 2 Crore+"
245,Pratima Mondal,JAYNAGAR (SC),AITC,0,Post Graduate,,
246,Dushyant Singh,JHALAWAR-BARAN,BJP,0,Post Graduate,"Rs 38,93,08,540  ~ 38 Crore+","Rs 8,65,93,973  ~ 8 Crore+"
247,Ramprit Mandal,JHANJHARPUR,JD(U),0,10th Pass,"Rs 10,59,78,772  ~ 10 Crore+","Rs 4,26,593  ~ 4 Lacs+"
248,Anurag Sharma,JHANSI,BJP,0,Post Graduate,"Rs 2,12,07,65,800  ~ 212 Crore+","Rs 1,49,48,530  ~ 1 Crore+"
249,Kalipada Saren Kherwal,JHARGRAM (ST),AITC,0,Post Graduate,"Rs 1,30,23,236  ~ 1 Crore+","Rs 2,05,892  ~ 2 Lacs+"
250,Brijendra Singh Ola,JHUNJHUNU,INC,0,Post Graduate,,
251,Gajendra Singh Shekhawat,JODHPUR,BJP,0,Post Graduate,"Rs 19,30,27,658  ~ 19 Crore+","Rs 1,98,62,350  ~ 1 Crore+"
252,Gaurav Gogoi,JORHAT,INC,1,Post Graduate,"Rs 4,90,61,120  ~ 4 Crore+",Rs 0  ~
253,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rs 3,34,52,812  ~ 3 Crore+","Rs 9,89,043  ~ 9 Lacs+"
254,Chavda Vinod Lakhamshi,KACHCHH (SC),BJP,0,Post Graduate,"Rs 7,09,80,147  ~ 7 Crore+","Rs 1,56,05,895  ~ 1 Crore+"
255,Y. S. Avinash Reddy,KADAPA,YSRCP,2,Post Graduate,,
256,Iqra Choudhary,KAIRANA,SP,0,Post Graduate,"Rs 68,74,858  ~ 68 Lacs+","Rs 8,84,157  ~ 8 Lacs+"
257,Karan Bhushan Singh,KAISERGANJ,BJP,0,Graduate Professional,"Rs 49,56,81,640  ~ 49 Crore+","Rs 22,93,59,344  ~ 22 Crore+"
258,Tangella Uday Srinivas (Tea Time Uday),KAKINADA,Janasena Party,1,12th Pass,"Rs 31,15,35,620  ~ 31 Crore+","Rs 3,62,10,120  ~ 3 Crore+"
259,Malvika Devi,KALAHANDI,BJP,0,Graduate,"Rs 41,89,01,050  ~ 41 Crore+",Rs 0  ~
260,Malaiyarasan D,KALLAKURICHI,DMK,4,Post Graduate,,
261,Dr Shrikant Eknath Shinde,KALYAN,Shiv Sena,0,Post Graduate,"Rs 14,92,08,812  ~ 14 Crore+","Rs 6,63,20,443  ~ 6 Crore+"
262,Selvam. G,KANCHEEPURAM (SC),DMK,0,Post Graduate,"Rs 2,36,15,126  ~ 2 Crore+","Rs 31,12,213  ~ 31 Lacs+"
263,Sukanta Kumar Panigrahi,KANDHAMAL,BJP,4,Post Graduate,"Rs 70,71,617  ~ 70 Lacs+",Rs 0  ~
264,Dr Rajeev Bhardwaj,KANGRA,BJP,0,Graduate Professional,"Rs 5,87,23,886  ~ 5 Crore+","Rs 4,24,821  ~ 4 Lacs+"
265,Bhojraj Nag,KANKER (ST),BJP,0,8th Pass,,
266,Akhilesh Yadav,KANNAUJ,SP,3,Graduate Professional,"Rs 42,02,62,015  ~ 42 Crore+","Rs 99,85,548  ~ 99 Lacs+"
267,Vijayakumar Alias Vijay Vasanth,KANNIYAKUMARI,INC,8,Post Graduate,"Rs 64,27,30,752  ~ 64 Crore+","Rs 3,06,16,359  ~ 3 Crore+"
268,K. Sudhakaran,KANNUR,INC,14,Post Graduate,"Rs 6,29,79,919  ~ 6 Crore+","Rs 59,33,624  ~ 59 Lacs+"
269,Ramesh Awasthi,KANPUR,BJP,0,Post Graduate,"Rs 5,29,36,608  ~ 5 Crore+","Rs 61,48,728  ~ 61 Lacs+"
270,Adhikari Soumendu,KANTHI,BJP,6,Post Graduate,,
271,Raja Ram Singh,KARAKAT,CPI(ML)(L),3,Graduate,"Rs 2,59,19,942  ~ 2 Crore+","Rs 19,00,000  ~ 19 Lacs+"
272,Bhajan Lal Jatav,KARAULI-DHOLPUR (SC),INC,1,10th Pass,"Rs 3,32,82,184  ~ 3 Crore+","Rs 1,89,78,157  ~ 1 Crore+"
273,Kripanath Mallah,KARIMGANJ,BJP,0,Graduate,"Rs 1,88,62,404  ~ 1 Crore+","Rs 63,14,782  ~ 63 Lacs+"
274,Bandi Sanjay Kumar,KARIMNAGAR,BJP,42,Post Graduate,"Rs 1,12,75,000  ~ 1 Crore+","Rs 13,40,000  ~ 13 Lacs+"
275,Manohar Lal,KARNAL,BJP,0,Graduate,,
276,Jothimani. S,KARUR,INC,1,Post Graduate,"Rs 1,53,52,373  ~ 1 Crore+","Rs 14,54,722  ~ 14 Lacs+"
277,Rajmohan Unnithan,KASARAGOD,INC,6,Graduate,"Rs 3,24,32,135  ~ 3 Crore+","Rs 6,78,829  ~ 6 Lacs+"
278,Tariq Anwar,KATIHAR,INC,0,Graduate,"Rs 19,60,57,169  ~ 19 Crore+",Rs 0  ~
279,Pushpendra Saroj,KAUSHAMBI (SC),SP,0,Graduate,"Rs 1,52,31,655  ~ 1 Crore+","Rs 50,00,000  ~ 50 Lacs+"
280,Kamakhya Prasad Tasa,KAZIRANGA,BJP,0,Post Graduate,,
281,Baijayant Panda,KENDRAPARA,BJP,8,Graduate Professional,"Rs 1,48,08,78,708  ~ 148 Crore+","Rs 98,50,836  ~ 98 Lacs+"
282,Ananta Nayak,KEONJHAR (ST),BJP,1,Others,"Rs 84,86,265  ~ 84 Lacs+","Rs 1,76,548  ~ 1 Lacs+"
283,Amritpal Singh,KHADOOR SAHIB,IND,12,10th Pass,"Rs 18,38,440  ~ 18 Lacs+",Rs 0  ~
284,Rajesh Verma,KHAGARIA,Lok Janshakti Party(Ram Vilas),12,Graduate Professional,"Rs 5,38,94,412  ~ 5 Crore+","Rs 4,07,45,130  ~ 4 Crore+"
285,Vishnu Datt Sharma (V.D.Sharma),KHAJURAHO,BJP,1,Post Graduate,,
286,Ramasahayam Raghuram Reddy,KHAMMAM,INC,1,Others,"Rs 58,27,70,537  ~ 58 Crore+","Rs 9,54,82,677  ~ 9 Crore+"
287,Gyaneshwar Patil,KHANDWA,BJP,1,12th Pass,"Rs 7,22,37,099  ~ 7 Crore+","Rs 54,46,068  ~ 54 Lacs+"
288,Gajendra Singh Patel,KHARGONE (ST),BJP,0,Graduate Professional,"Rs 9,98,24,946  ~ 9 Crore+","Rs 44,97,445  ~ 44 Lacs+"
289,Devusinh Chauhan,KHEDA,BJP,0,Graduate Professional,"Rs 3,49,76,572  ~ 3 Crore+","Rs 49,96,647  ~ 49 Lacs+"
290,Utkarsh Verma (Madhur),KHERI,SP,0,Graduate,,
291,Kali Charan Munda,KHUNTI (ST),INC,0,12th Pass,"Rs 54,07,803  ~ 54 Lacs+",Rs 0  ~
292,Mohammad Jawed,KISHANGANJ,INC,0,Graduate Professional,"Rs 15,96,75,943  ~ 15 Crore+","Rs 1,65,62,000  ~ 1 Crore+"
293,Annpurna Devi,KODARMA,BJP,2,Post Graduate,"Rs 12,82,82,857  ~ 12 Crore+","Rs 78,85,853  ~ 78 Lacs+"
294,Joyanta Basumatary,KOKRAJHAR (ST),"United Peoples Party, Liberal",1,Graduate,"Rs 2,28,65,797  ~ 2 Crore+",Rs 0  ~
295,M. Mallesh Babu,KOLAR (SC),Janata Dal (Secular),1,Post Graduate,,
296,Chhatrapati Shahu Shahaji,KOLHAPUR,INC,1,Graduate,"Rs 3,42,86,68,000  ~ 342 Crore+",Rs 0  ~
297,Mala Roy,KOLKATA DAKSHIN,AITC,1,Graduate,"Rs 1,53,97,092  ~ 1 Crore+","Rs 7,95,517  ~ 7 Lacs+"
298,Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate,"Rs 8,48,12,907  ~ 8 Crore+",Rs 0  ~
299,N K Premachandran,KOLLAM,Revolutionary Socialist Party,5,Graduate Professional,"Rs 3,11,94,899  ~ 3 Crore+","Rs 38,00,000  ~ 38 Lacs+"
300,K. Rajashekar Basavaraj Hitnal,KOPPAL,INC,3,12th Pass,,
301,Saptagiri Sankar Ulaka,KORAPUT (ST),INC,0,Graduate Professional,"Rs 7,09,56,659  ~ 7 Crore+","Rs 1,60,02,929  ~ 1 Crore+"
302,Jyotsna Charandas Mahant,KORBA,INC,0,Post Graduate,"Rs 17,96,26,733  ~ 17 Crore+","Rs 5,00,000  ~ 5 Lacs+"
303,Om Birla,KOTA,BJP,0,Post Graduate,"Rs 10,62,06,645  ~ 10 Crore+",Rs 0  ~
304,Adv K Francis George,KOTTAYAM,Kerala Congress,5,Graduate Professional,"Rs 9,51,96,318  ~ 9 Crore+","Rs 13,00,000  ~ 13 Lacs+"
305,M. K. Raghavan,KOZHIKODE,INC,4,Graduate,,
306,Gopinath K,KRISHNAGIRI,INC,0,10th Pass,"Rs 12,34,05,500  ~ 12 Crore+","Rs 1,14,98,082  ~ 1 Crore+"
307,Mahua Moitra,KRISHNANAGAR,AITC,1,Graduate,"Rs 3,50,67,166  ~ 3 Crore+",Rs 0  ~
308,Bastipati Nagaraju Panchalingala,KURNOOL,TDP,0,Post Graduate,"Rs 9,01,76,000  ~ 9 Crore+","Rs 19,36,439  ~ 19 Lacs+"
309,Naveen Jindal,KURUKSHETRA,BJP,9,Post Graduate,"Rs 12,41,47,68,000  ~ 1241 Crore+","Rs 7,37,06,000  ~ 7 Crore+"
310,Vijay Kumar Dubay,KUSHI NAGAR,BJP,2,12th Pass,,
311,Mohmad Haneefa,LADAKH,IND,0,10th Pass,"Rs 3,27,61,570  ~ 3 Crore+","Rs 1,50,000  ~ 1 Lacs+"
312,Pradan Baruah,LAKHIMPUR,BJP,0,Others,"Rs 2,42,05,536  ~ 2 Crore+","Rs 22,69,660  ~ 22 Lacs+"
313,Muhammed Hamdullah Sayeed,LAKSHADWEEP,INC,0,Graduate Professional,"Rs 14,85,48,173  ~ 14 Crore+",Rs 0  ~
314,Daroga Prasad Saroj,LALGANJ (SC),SP,3,Graduate,"Rs 5,38,76,725  ~ 5 Crore+",Rs 0  ~
315,Dr. Kalge Shivaji Bandappa,LATUR (SC),INC,0,Graduate Professional,,
316,Sukhdeo Bhagat,LOHARDAGA (ST),INC,1,Post Graduate,"Rs 2,46,88,449  ~ 2 Crore+","Rs 1,24,14,241  ~ 1 Crore+"
317,Raj Nath Singh,LUCKNOW,BJP,0,Post Graduate,"Rs 7,36,84,617  ~ 7 Crore+",Rs 0  ~
318,Amrinder Singh Raja Warring,LUDHIANA,INC,0,10th Pass,"Rs 17,72,43,256  ~ 17 Crore+","Rs 4,46,73,348  ~ 4 Crore+"
319,Priya Saroj,MACHHLISHAHR (SC),SP,2,Graduate Professional,"Rs 11,25,719  ~ 11 Lacs+",Rs 0  ~
320,Balashowry Vallabhaneni,MACHILIPATNAM,Janasena Party,2,Post Graduate,,
321,Mohite-Patil Dhairyasheel Rajsinh,MADHA,Nationalist Congress Party – Sharadchandra Pawar,36,Post Graduate,"Rs 48,94,34,188  ~ 48 Crore+","Rs 20,50,27,212  ~ 20 Crore+"
322,Dinesh Chandra Yadav,MADHEPURA,JD(U),0,Others,"Rs 6,62,09,377  ~ 6 Crore+",Rs 0  ~
323,Ashok Kumar Yadav,MADHUBANI,BJP,2,Doctorate,"Rs 5,85,83,773  ~ 5 Crore+","Rs 1,02,24,706  ~ 1 Crore+"
324,Venkatesan S,MADURAI,CPI(M),3,12th Pass,"Rs 2,05,36,639  ~ 2 Crore+",Rs 0  ~
325,Balram Naik Porika,MAHABUBABAD (ST),INC,6,10th Pass,,
326,Pankaj Chaudhary,MAHARAJGANJ,BJP,0,12th Pass,"Rs 41,90,10,509  ~ 41 Crore+","Rs 3,82,47,129  ~ 3 Crore+"
327,Janardan Singh (Sigriwal),MAHARAJGANJ,BJP,5,Graduate,"Rs 1,75,36,436  ~ 1 Crore+",Rs 0  ~
328,Roop Kumari Choudhary,MAHASAMUND,BJP,0,Post Graduate,"Rs 5,39,08,562  ~ 5 Crore+","Rs 21,16,025  ~ 21 Lacs+"
329,Aruna. D. K,MAHBUBNAGAR,BJP,6,12th Pass,"Rs 66,75,69,871  ~ 66 Crore+","Rs 1,61,32,436  ~ 1 Crore+"
330,Haribhai Patel,MAHESANA,BJP,0,Others,,
331,Dimple Yadav,MAINPURI,SP,0,Graduate,"Rs 42,02,62,015  ~ 42 Crore+","Rs 99,85,548  ~ 99 Lacs+"
332,E.T. Mohammed Basheer,MALAPPURAM,Indian Union Muslim League,1,10th Pass,"Rs 2,02,52,293  ~ 2 Crore+",Rs 0  ~
333,Isha Khan Choudhury,MALDAHA DAKSHIN,INC,0,Graduate,"Rs 1,48,10,368  ~ 1 Crore+",Rs 0  ~
334,Khagen Murmu,MALDAHA UTTAR,BJP,7,Graduate,"Rs 1,35,90,846  ~ 1 Crore+","Rs 2,34,412  ~ 2 Lacs+"
335,Eatala Rajender,MALKAJGIRI,BJP,45,Graduate,,
336,Kangna Ranaut,MANDI,BJP,8,12th Pass,"Rs 91,66,31,239  ~ 91 Crore+","Rs 17,38,86,641  ~ 17 Crore+"
337,Faggan Singh Kulaste,MANDLA (ST),BJP,0,Post Graduate,"Rs 5,35,26,381  ~ 5 Crore+","Rs 33,80,099  ~ 33 Lacs+"
338,Sudheer Gupta,MANDSOUR,BJP,1,Post Graduate,"Rs 19,28,84,642  ~ 19 Crore+","Rs 5,84,53,495  ~ 5 Crore+"
339,H.D. Kumaraswamy,MANDYA,Janata Dal (Secular),3,Graduate,"Rs 2,17,23,28,789  ~ 217 Crore+","Rs 82,18,06,608  ~ 82 Crore+"
340,Hemamalini Dharmendra Deol,MATHURA,BJP,0,Doctorate,,
341,Bapi Haldar,MATHURAPUR (SC),AITC,1,Graduate,"Rs 2,45,30,801  ~ 2 Crore+","Rs 58,849  ~ 58 Thou+"
342,Shrirang Appa Chandu Barne,MAVAL,Shiv Sena,3,10th Pass,"Rs 1,31,85,91,631  ~ 131 Crore+","Rs 85,28,711  ~ 85 Lacs+"
343,Kodikunnil Suresh,MAVELIKKARA (SC),INC,6,Graduate Professional,"Rs 1,53,12,324  ~ 1 Crore+","Rs 8,80,986  ~ 8 Lacs+"
344,Sudha R,MAYILADUTHURAI,INC,10,Post Graduate,"Rs 38,62,830  ~ 38 Lacs+",Rs 0  ~
345,Naba Charan Majhi,MAYURBHANJ (ST),BJP,1,Graduate,,
346,Madhavaneni Raghunandan Rao,MEDAK,BJP,29,Graduate Professional,"Rs 22,09,07,289  ~ 22 Crore+","Rs 12,11,78,789  ~ 12 Crore+"
347,June Maliah,MEDINIPUR,AITC,0,10th Pass,"Rs 6,60,18,642  ~ 6 Crore+","Rs 1,79,20,738  ~ 1 Crore+"
348,Arun Govil,MEERUT,BJP,0,Graduate,"Rs 14,44,00,261  ~ 14 Crore+","Rs 14,64,028  ~ 14 Lacs+"
349,Anupriya Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 4,22,41,754  ~ 4 Crore+","Rs 98,05,603  ~ 98 Lacs+"
350,Ashok Kumar Rawat,MISRIKH (SC),BJP,0,Post Graduate,,
351,Richard Vanlalhmangaiha,MIZORAM (ST),Zoram Peoples Movement,0,Graduate,"Rs 1,69,19,233  ~ 1 Crore+",Rs 0  ~
352,R.K. Chaudhary,MOHANLALGANJ (SC),SP,2,Graduate Professional,"Rs 2,83,84,459  ~ 2 Crore+",Rs 0  ~
353,Ruchi Vira,MORADABAD,SP,0,Graduate,"Rs 28,05,88,320  ~ 28 Crore+",Rs 0  ~
354,Shivmangal Singh Tomar,MORENA,BJP,0,Graduate Professional,"Rs 2,26,14,911  ~ 2 Crore+","Rs 44,30,205  ~ 44 Lacs+"
355,Piyush Goyal,MUMBAI NORTH,BJP,0,Graduate Professional,,
356,Gaikwad Varsha Eknath,MUMBAI NORTH - CENTRAL,INC,7,Post Graduate,"Rs 7,68,48,656  ~ 7 Crore+","Rs 1,01,60,000  ~ 1 Crore+"
357,Sanjay Dina Patil,MUMBAI NORTH - EAST,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 3,99,11,145  ~ 3 Crore+",Rs 0  ~
358,Ravindra Dattaram Waikar,MUMBAI NORTH - WEST,Shiv Sena,3,Graduate,"Rs 54,50,49,854  ~ 54 Crore+","Rs 4,48,10,574  ~ 4 Crore+"
359,Arvind Ganpat Sawant,MUMBAI SOUTH,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate,"Rs 5,04,85,191  ~ 5 Crore+",Rs 0  ~
360,Anil Yeshwant Desai,MUMBAI SOUTH - CENTRAL,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,,
361,Rajiv Ranjan Singh Alias Lalan Singh,MUNGER,JD(U),0,Graduate,"Rs 13,82,28,639  ~ 13 Crore+","Rs 29,15,378  ~ 29 Lacs+"
362,Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,"Rs 3,84,76,131  ~ 3 Crore+",Rs 0  ~
